add,city,country,exchange,geometry,name,region,state,stock,symbol,website
"750 West Pender St, Vancouver, BC V6C 1G8",Vancouver,ca,TSX Venture,POINT (-123.1158865 49.284933),AbraPlata Resource Corp.,,British Columbia,0.17 CDN ,AET-X,http://www.aethonminerals.com
"1111 Melville St, Vancouver, BC V6E 3V6",Vancouver,ca,TSX Venture,POINT (-123.122136 49.286786),Adamera Minerals Corp.,,British Columbia,0.03 CDN,ADZ,http://www.adamera.com
"65 Rodney Road, Cheltenham, GL50 1HX",Cheltenham,gb,London ,POINT (-2.074691 51.898941),Adriatic Metals Plc,South West England,England,88.00 GBX,ADT1 ,http://www.adriaticmetals.com
"220 Bay St, Toronto, ON M5J 2W4",Toronto,ca,TSX Venture/OTC,POINT (-79.379954 43.647552),Adventus Mining Corporation,,Ontario,0.93 CDN ,ADZN/ADVZF,http://www.adventusmining.com
"520 Wickham St, Fortitude Valley, QLD 4006",Brisbane,au,Sydney (ASX),POINT (153.0395618 -27.4517239),Aeris Resources Limited,,Queensland,0.05 AUS,AIS,http://www.aerisresources.com.au
"409 Granville St, Vancouver, BC V6C 1T2",Vancouver,ca,TSX-Venture/OTCQB,POINT (-123.1142912 49.2853029),Aftermath Silver Ltd,,British Columbia,0.30 CDN,AAG/AAGFF,http://www.vendettaminingcorp.com
"145 King St East, Toronto, ON M5C 2Y7",Toronto,ca,TSE,POINT (-79.375944 43.649579),Agnico Eagle Mines Limited,,Ontario,76.23 CDN,AEM,http://www.agnicoeagle.com
"17618 Ave, Surrey, BC V3S 1L3",Surrey,ca,CSEX/ Frankfurt,POINT (-122.734687 49.10765),AJN Resources Inc.,,British Columbia,0.35 CDN ,AJN / 5AT,http://www.ajnresources.com
"7001 E. Belleview Ave, Denver, CO 80237",Greenwood Village,us,TSE,POINT (-104.9051306 39.6242964),Alacer Gold Corp.,,Colorado,6.33 CDN,ASR,http://www.alacergold.com
"181 Bay St, Toronto, ON M5J 2T3",Toronto,ca,TSE/NYSE,POINT (-79.3786735 43.6465062),Alamos Gold Inc.,,Ontario,7.13 CDN,AGI,http://www.alamosgold.com
"1177 West Hastings St, Vancouver, BC V6E 4T5",Vancouver,ca,TSX Venture,POINT (-123.121766 49.28876),Aldebaran Resources Inc.,,British Columbia,0.45 CDN ,ALDE,http://www.aldebaranresources.com
"555 Burrard St, Vancouver, BC V7X 1M8",Vancouver,ca,TSE/NYSE,POINT (-123.118097 49.286584),Alexco Resource Corp.,,British Columbia,2.47 CDN ,AXU,http://www.alexcoresource.com
"1333 Johnston St, Vancouver, BC V6H 3R9",Vancouver,ca,TSE/NYSE,POINT (-123.1349389 49.2718673),Almaden Minerals Ltd.,,British Columbia,0.66 CDN ,AMM/AAU ,http://www.almadenminerals.com
"409 Granville St, Vancouver, BC V6C 1T2",Vancouver,ca,TSX Venture/Frankfurt/US ,POINT (-123.1142912 49.2853029),Altamira Gold,,British Columbia,0.07 CDN ,ALTA/T6UP/EQTRF,http://www.altamiragold.com
"38 Duffy Place, St Johns, NL, A1B 4M5",St. John's,ca,TSE,POINT (-52.776632 47.559377),Altius Minerals Corp.,,Newfoundland and Labrador,11.44 CDN,ALS,http://www.altiusminerals.com
"800 West Pender St, Vancouver, BC V6C 2V6",Vancouver,ca,TSX Venture,POINT (-123.1164135 49.2853994),Alto Ventures Ltd.,,British Columbia,0.03 CDN,ATV,http://www.altoventures.com
"1199 West Pender St, Vancouver, BC V6E 2R1",Vancouver,ca,TSX Venture/Frankfurt/US ,POINT (-123.07925 49.280055),ALX Resources Corp.,,British Columbia,0.05 CDN ,AL/6LLN/ALXEF,http://www.alxresources.com
"82 Richmond St East, Toronto, ON M5C 1P1",Toronto,ca,TSX Venture,POINT (-79.3750388 43.6526534),Amarillo Gold Corp.,,Ontario,0.20 CDN ,AGC,http://www.amarillogold.com
"92 2 Ave W, Cardston, AB T0K 0K0",Town of Cardston,ca,TSX Venture,POINT (-113.3155792 49.2005905),American Creek Resources Ltd.,,Alberta,0.08 CDN ,AMK,http://www.americancreek.com
"145 King St W, Toronto, ON M5H 1J8",Toronto,ca,TSE,POINT (-79.387868 43.647262),Americas Gold and Silver,,Ontario,3.78 CDN,USA,http://www.americas-gold.com
"410 Rue Saint Nicolas, Montréal, QC H2Y 2P5",Montreal,ca,TSX Venture/FRA/OTCQX,POINT (-73.55605300000001 45.502082),Amex Exploration,,Quebec,1.46 CDN,AMX/MX0/AMXEF,http://www.amexexploration.com
"150 York St, Toronto, ON M5H 3S5",Toronto,ca,TSE/OTCQX ,POINT (-79.3845764 43.6495789),Anaconda Mining Inc.,,Ontario,0.24 CDN ,ANX/ANXGF ,http://www.anacondamining.com
Cl 108 45-30 Bogota,Suba,co,,POINT (-74.05936320000001 4.6958741),Andino Commodities S.A.S,,Bogota Capital District,,,
"20 Carlton House Terrace, St James's, London SW1Y 5AN",London,gb,London ,POINT (-0.130645 51.507148),Anglo American,,England,2.161.50 GBX,AAL ,http://www.angloamerican.com
"2 Toronto St, Toronto, ON M5C 2B6",Toronto,ca,CSE ,POINT (-79.376175 43.649696),Appia Energy Corp.,,Ontario,0.20 CDN,API,http://www.appiaenergy.ca
"141 Adelaide St W, Toronto, ON M5H 3L5",Toronto,ca,TSE/OTCQB,POINT (-79.404066 43.644554),Aquila Resources Inc.,,Ontario,0.15 CDN ,AQA/AQARF,http://www.aquilaresources.com
"1111 Melville St, Vancouver, BC V6E 3V6",Vancouver,ca,TSX Venture,POINT (-123.122136 49.286786),Arctic Star Exploration Corp.,,British Columbia,0.08 CDN,ADD,http://www.arcticstar.ca
"34 Colin St, West Perth, WA 6005",Perth,au,Sydney (ASX),POINT (115.8414839 -31.9506404),Ardiden Limited,,Western Australia,0.00 CDN ,ASX,http://www.ardiden.com.au
,,,,,Ares Strategic Mining Inc.,,,,,http://www.aresmining.com
"350 Bay St, Toronto, ON M5H 2S6",Toronto,ca,CSE/OTC/Frankfurt,POINT (-79.381325 43.650406),Argo Gold,,Ontario,0.10 CDN,ARQ/ARBTF/FSE,http://www.argogold.ca
"9600 Prototype Court, Reno, NV 89521",Reno,us,TSE,POINT (-119.7653001 39.4434084),Argonaut Gold Inc.,,Nevada,1.92 CDN ,AR,http://www.argonautgold.com
"595 Burrard St Vancouver, BC V7X 1L3",Vancouver,ca,TSX Venture,POINT (-123.11973 49.28613),Artemis Gold Inc.,,British Columbia,1.40 CDN,ARTG ,http://www.artemisgoldinc.com
"633 Courtney St, Victoria, BC V8W 1B8",Victoria,ca,,POINT (-123.366445 48.423106),Artisanal Gold Council,,British Columbia,,,http://www.artisanalgold.org
"595 Howe St, Vancouver, BC V6C 2T5",Vancouver,ca,CSE/Frankfurt ,POINT (-123.117446 49.284596),Asante Gold Corporation,,British Columbia,0.05,ASE/1A9,http://www.asantegold.com
"110 Yonge St Toronto, ON M5C 1T4",Toronto,ca,TSE/OTCQX,POINT (-79.38515700000001 43.647459),Ascendant Resources Inc.,,Ontario,0.40 CDN,ASND/ASDRF,http://www.ascendantresources.com
"505 Burrard St, Vancouver, BC V7X 1E5",Vancouver,ca,TSE/OTCQX,POINT (-123.118975 49.286563),Ascot Resources Ltd.,,British Columbia,0.76 CDN,AOT/AOTVF,http://www.ascotgold.com
"80 Richmond St, Toronto, ON M5H 2A4",Toronto,ca,TSX Venture,POINT (-79.38215599999999 43.651237),Aston Bay,,Ontario,0.06 CDN,BAY,http://www.astonbayholdings.com
"510 W Hastings St, Vancouver, BC V6B 1L8",Vancouver,ca,TSX Venture,POINT (-123.112371 49.283923),ATAC Resources Ltd.,,British Columbia,0.22CDN,ATC ,http://www.atacresources.com
"40 Wellington Row, St John, NB E2L 4S3",Saint John,ca,,POINT (-66.056124 45.27575),Atlantic Gold Corporation,,New Brunswick,,,http://www.atlanticgoldcorporation.com
"757 W Hastings St, Vancouver, BC V6C 1A1",Vancouver,ca,TSX Venture,POINT (-123.114318 49.286204),Auramex Resource Corp,,British Columbia,0.04 CDN,AUX,http://www.auramex.com
"36 Toronto St, Toronto, ON M5C 2C5",Toronto,ca,TSX Venture,POINT (-79.535526 43.590324),Aurania Resources Ltd.,,Ontario,3.92 CDN ,ARU,http://www.aurania.com
"20 Kings Park Rd, West Perth, WA 6005",Perth,au,Sydney (ASX),POINT (115.8400568 -31.9523044),Aurora Minerals Group LLP,,Western Australia,0.01 AUS,ARM,http://www.aurora.kz
"5 Cheapside, London, UK EC2V 6AA",London,gb,London (AIM) ,POINT (-0.0873892 51.6167501),Aurum Discovery,,England,248.40 GBX,SWG,http://www.aurumdiscovery.com
"San Francisco de Asís 150, Vitacura, Los Condes, Región Metropolitana",Las Condes,cl,OTCQX,POINT (-70.5913067 -33.4125813),AURYN Mining Corp.,,Santiago Metropolitan Region,0.17 CDN ,AUMC,http://www.aurynmining.com
"1199 W Hastings St, Vancouver, BC V6E 3T5",Vancouver,ca,TSE/NYSE,POINT (-123.122234 49.288927),Auryn Resources Inc.,,British Columbia,1.70 CDN,AUG,http://www.aurynresources.com
"130 Adelaide St W, Toronto, ON M5H 3P5",Spadina—Fort York,ca,TSE/OTCQB,POINT (-79.38381200000001 43.649693),Avalon Advanced Materials Inc.,,Ontario,0.06 CDN,AVL/AVLNF,http://www.avalonadvancedmaterials.com
"18 King St E, Toronto, ON M5C 1C4",Toronto,ca,TSX Venture,POINT (-79.377094 43.649535),Avidian Gold Corp.,,Ontario,0.11 CDN ,AVG ,http://www.avidiangold.com
"570 Granville St, Vancouver, BC V6C 3P1",Vancouver,ca,TSE/NYSE ,POINT (-123.115659 49.28372),Avino Silver & Gold Mines Ltd.,,British Columbia,0.69 CDN ,ASM ,http://www.avino.com
"400 Burrard St, Vancouver, BC V6C 3A6",Vancouver,ca,TSX Venture,POINT (-123.117075 49.286617),Awale Resources Ltd.,,British Columbia,0.12 CDN ,ARIC ,http://www.awaleresources.com
"110 De La Barre St, Longueuil, QC J4K 1A3",Longueuil,ca,TSX Venture,POINT (-73.522642 45.527998),Azimut Exploration Inc.,,Quebec,1.33 CDN ,AZM ,http://www.azimut-exploration.com
"34 Colin St, West Perth, WA 6005",Perth,au,Sydney (ASX),POINT (115.8414839 -31.9506404),Azure Minerals Limited,,Western Australia,0.14 AUS,AZS,http://www.azureminerals.com.au
"595 Burrard St, Vancouver,  BC V7X 1L7",Vancouver,ca,TSE/NYSE,POINT (-123.115317 49.288288),B2Gold Corp.,,British Columbia,5.33 CDN ,BTO/BTG ,http://www.b2gold.com
"700 W Pender St, Vancouver, BC V6C 1G8",Vancouver,ca,TSE/OTCQX,POINT (-123.1154498 49.2846592),Balmoral Resources Ltd.,,British Columbia,0.34 CDN ,BAR/BALMF,http://www.balmoralresources.com
"1050 W Pender St, Vancouver, BC V6E 3S7",Vancouver,ca,TSX Venture,POINT (-123.119633 49.286888),Banyan Gold Corp.,,British Columbia,0.07CDN ,BYN ,http://www.banyangold.com
"815 Hornby St, Vancouver, BC V6Z 2E6",Vancouver,ca,TSX Venture/OTCQB/FSE,POINT (-123.121755 49.282649),Barrian Mining Corp,,British Columbia,0.13 CDN ,BARI/BARRF/BM5,
"161 Bay St, Toronto, ON M5J 2S1",Toronto,ca,TSE/NYSE,POINT (-79.3787741 43.6469),Barrick Gold Corporation,,Ontario,23.60 CDN,ABX/GOLD,http://www.barrick.com
"595 Burrard St, Vancouver, BC V7X 1J1",Vancouver,ca,TSX Venture,POINT (-123.011694 49.210523),BeMetals Corp.,,British Columbia,0.22 CDN,BMET,http://www.bemetalscorp.com
"684 Squier St Thunder Bay, ON P7B 4A8",Thunder Bay,ca,TSX Venture,POINT (-89.24644000000001 48.41608),Benton Resources Inc.,,Ontario,0.05 CDN,BEX,http://www.bentonresources.ca
"171 Collins St, Melbourne, VIC 3000",,au,London (AIM) ,POINT (144.9681574 -37.815202),BHP,,Victoria,1.851.60 GBX,BHP,http://www.bhp.com
"409 Granville St, Vancouver, BC V6C 1T2",Vancouver,ca,TSX Venture/OTC/FSE,POINT (-123.1142912 49.2853029),BlackRock Gold Corp.,,British Columbia,0.16 CDN,BRC/BKRRF/AHZ,http://www.blackrockgoldcorp.com
"24 Outram St, West Perth, WA, 6005",Perth,au,Sydney (ASX),POINT (115.8390075 -31.9501833),Blackstone Minerals Ltd,,Western Australia,0.17 AUS,BSX,http://www.blackstoneminerals.com.au
"750 W Pender St, Vancouver, BC V6C 2T7",Vancouver,ca,TSX Venture,POINT (-123.115356 49.284971),Blind Creek Resources Ltd.,,British Columbia,0.04 CDN,BCK ,http://www.blindcreekresources.com
"595 Howe St, Vancouver, BC V6C 2T5",Vancouver,ca,TSX Venture,POINT (-123.117446 49.284596),Blue Star Gold Corp.,,British Columbia,0.05 CDN,BAU ,http://www.bluestargold.ca
"105 King St E, Toronto, ON M5C 1G6",Toronto,ca,Amalgamation and TSX-V listing are in progress and expected to close by the end of January 2020,POINT (-79.373383 43.649967),Blue Thunder Mining Corp,,Ontario,,,http://www.bluethundermining.com
"1055 W Georgia St, Vancouver, BC VE6 4N7",Vancouver,ca,TSX Venture/OTCMKTS,POINT (-123.1294014 49.2898009),BONTERRA Resources Inc.,,British Columbia,1.72 CDN,BRT/BONFX,http://www.btrgold.com
"2520 16 St NW, Calgary, AB T2M 3R2",Calgary,ca,TSX Venture/OTCQB,POINT (-114.099111 51.075052),Braveheart Resources Inc.,,Alberta,0.13 CDN,BHT/RIINF,http://www.braveheartresourcesinc.com
"12 Walker Ave, West Perth, WA 6005",Perth,au,Sydney (ASX),POINT (115.8367992 -31.9504028),Breaker Resources NL,,Western Australia,0.28 CDN,BRB ,http://www.breakerresources.com.au
"409 Granville St, Vancouver, BC V6C 1T2",Vancouver,ca,TSX Venture,POINT (-123.1142912 49.2853029),Brixton Metals Corporation,,British Columbia,0.17 CDN,BBB,http://www.brixtonmetals.com
,,,,,BTU Metals Corp.,,,,,http://www.btumetals.com
"55 University Ave, Toronto, ON M5J 2H7",Toronto,ca,,POINT (-79.38401 43.646957),Buchans Resources Ltd.,,Ontario,,,http://www.buchansresources.com
"82 Richmond St E, Toronto, ON M5C 1P1",Toronto,ca,TSX Venture,POINT (-79.3750388 43.6526534),BWR Exploration Inc.,,Ontario,0.05 CDN,BWR,http://www.bwrexploration.com
"409 Granville St, Vancouver, BC V6C 1T2",Vancouver,ca,TSX Venture,POINT (-123.1142912 49.2853029),Cabral Gold Ltd.,,British Columbia,0.10 CDN,CBGZF,http://www.cabralgold.com
"555 W Hastings St, Vancouver, BC V6B 4N6",Vancouver,ca,TSX Venture/OTCQB,POINT (-123.1120643 49.2847674),Callinex Mines Inc.,,British Columbia,0.81 CDN,CNX/CLLXF,http://www.callinex.ca
"120 Adelaide St W, Toronto, ON M5H 1T1",Toronto,ca,,POINT (-79.38320299999999 43.650014),Canada Nickel Company,,Ontario,,,http://www.canadanickel.com
"100 King St W, Toronto, ON M5X 1E1",Old Toronto,ca,,POINT (-79.69772399999999 43.990672),Canadian Securities Exchange,,Ontario,,,http://www.thecse.com
"625 Howe St, Vancouver, BC V6C 2T6",Vancouver,ca,TSX Venture/OTC/FWB,POINT (-123.117998 49.284231),CanAlaska Uranium Ltd.,,British Columbia,0.22 CDN,CVV/CVVUF/DH7N,http://www.canalaska.com
"625 Howe St, Vancouver, BC V6C 2T6",Vancouver,ca,TSE/OTCQB/Frankfurt,POINT (-123.117998 49.284231),Canarc Resource Corp.,,British Columbia,0.06 CDN,CCM/CRCUF/CAN,http://www.canarc.net
"1111 Melville St, Vancouver, BC V6E 3V6",Vancouver,ca,TSE,POINT (-123.122136 49.286786),Candente Copper Corp.,,British Columbia,0.04 CDN,DNT ,http://www.candentecopper.com
,,,,,Cantex Mine Development Corp,,,,,http://www.cantex.ca
"28 Ord St, West Perth, WA 6005",Perth,au,TSE/Sydney (ASX),POINT (115.8408263 -31.9502644),Cardinal Resources Ltd.,,Western Australia,0.36 CDN,CDV,http://www.cardinalresources.com.au
"133 Richmond St W, Toronto, ON M5H 2L3",Toronto,ca,TSX-Venture ,POINT (-79.3849675 43.6502576),Carube Copper Corp.,,Ontario,0.06 CDN,CUC,http://www.carubecopper.com
"10 Outram St, West Perth WA 6005",Perth,au,Sydney (ASX),POINT (115.8389326 -31.9509888),Centaurus Metals Ltd,,Western Australia,0.01 AUS,CTM,http://www.centaurus.com.au
"1 University Ave, Toronto, ON M5J 2P1",Toronto,ca,TSE ,POINT (-79.383179 43.645798),Centerra Gold Inc.,,Ontario,9.40 CDN ,CG,http://www.centerragold.com
"200 University Ave, Toronto, ON M5H 3C6",Spadina—Fort York,ca,TSX-Venture ,POINT (-79.38700900000001 43.648991),Century Global Commodities Corporation,,Ontario,0.09 CDN ,CNT,http://www.centuryglobal.ca
"22 Avenue Lafleur, Saint-Sauveur, Quebec J0R 1R0",Saint-Sauveur,ca,CSE,POINT (-74.161289 45.89289),Cerro de Pasco Resources Inc.,,Quebec,0.49 CDN,CDPR,http://www.pascoresources.com
"800 W Pender St, Vancouver, BC V6C 2V6",Vancouver,ca,TSX-Venture /OTCQB/FRA,POINT (-123.1164135 49.2853994),Chakana Copper Corporation,,British Columbia,0.18 CDN,PERU/CHKK/1ZX,http://www.chakanacopper.com
"1512 Yew St, Vancouver, BC V6K 3E4",Vancouver,ca,TSX-Venture ,POINT (-123.1559279 49.2507386),Chesapeake Gold Corporation,,British Columbia,3.05 CDN,CKG,http://www.chesapeakegold.com
"505 Burrard St, Vancouver, BC V7X 1M4",Vancouver,ca,TSE,POINT (-123.120132 49.285227),China Gold International Resources Corp. Ltd.,,British Columbia,1.15 CDN,CGG,http://www.chinagoldintl.com
"1004 Alloy Dr, Thunder Bay, ON P7B 6V1",Thunder Bay,ca,TSX-Venture ,POINT (-89.182163 48.454154),Clean Air Metals Inc,,Ontario,0.13CDN (Presently Regency Gold Corp),RUA:H,http://www.cleanairmetals.ca
"1090 Hamilton St, Vancouver, BC V6B 2R9",Vancouver,ca,TSE/OTCQB,POINT (-123.120303 49.276526),Columbus Gold Corp.,,British Columbia,0.17 CDN,CGT/CGTFF,http://www.columbusgold.com
"1111 Melville St, Vancouver, BC V6E 3V6",Vancouver,ca,TSX-Venture ,POINT (-123.122136 49.286786),Commander Resources Ltd.,,British Columbia,0.07 CDN,CMD,http://www.commanderresources.com
"789 W Pender St, Vancouver, BC V6C 1H2",Vancouver,ca,TSX-Venture/FSE/OTCQX,POINT (-123.115458 49.285288),Commerce Resources Corp.,,British Columbia,0.30 CDN,CCE/D7H/CMRZF,http://www.commerceresources.com
"7/8 Innovation Place, Douglas Dr, Godalming, UK GU7 1JX",Waverley,gb,TSE,POINT (-0.602569 51.187638),Condor Gold Plc,South East England,England,0.40 CDN,COG ,http://www.condorgold.com
"3300 Lake Dr, Dublin D24 TD21",Dublin 15,ie,London (AIM) ,POINT (-6.4340401 53.3899303),Conroy Gold and Natural Resources plc,,Leinster,8.72 GBX,CGNR,http://www.conroygold.com
"800 W Pender St, Vancouver, BC V6C 2V6",Vancouver,ca,TSX-Venture/OTCQX,POINT (-123.1164135 49.2853994),Constantine Metal Resources Ltd.,,British Columbia,0.23 CDN,CEM/CNSNF,http://www.constantinemetals.com
"Jiron Tinajones 177, Santiago de Surco 15038",Santiago de Surco,pe,,POINT (-76.9924011 -12.114799),Consulting & Mining Sevices SRL,Province of Lima,Lima,,,http://www.consultingmining.com
"155 Wellington St W, Toronto, ON M5V 3H1",Toronto,ca,TSE ,POINT (-79.38574199999999 43.645844),Continental Gold Inc.,,Ontario,5.46 CDN,CNL,http://www.continentalgold.com
"340 12th Ave SW, Calgary, AB T2R 1L5",Calgary,ca,TSX-Venture ,POINT (-114.070268 51.041741),Copper Fox Metals Inc.,,Alberta,0.09 CDN,CUU,http://www.copperfoxmetals.com
"700 W Pender St, Vancouver, BC V6C 1G8",Vancouver,ca,TSE/Sydney (ASX),POINT (-123.1154498 49.2846592),Copper Mountain Mining Corporation,,British Columbia,0.79 CDN,CMMC/C6C,http://www.cumtn.com
"55 Metcalfe St, Ottawa, ON K1P 6L5",Ottawa,ca,Privately Held,POINT (-75.69608340000001 45.4221069),Copperzone Resources Limited,,Ontario,,,http://www.copperzone-resources.com
"1730 St Laurent Blvd, Ottawa, ON K1G 3Y7",Ottawa,ca,TSX-Venture/OTCQX/Frankfurt,POINT (-75.627905 45.405849),Cornerstone Capital Resources Inc.,,Ontario,3.49 CDN,CGP/CTNXF/GWN,http://www.cornerstoneresources.com
"700 W Pender St, Vancouver, BC V6C 1G8",Vancouver,ca,TSE/OTCQX,POINT (-123.1154498 49.2846592),Corvus Gold Inc.,,British Columbia,1.95 CDN,KOR/CORVF,http://www.corvusgold.com
"1080 Côte du Beaver Hall, Montreal, QC H2Z 1S8",Montreal,ca,TSX-Venture/OTCMKTS,POINT (-73.565451 45.502432),Critical Elements Corporation,,Quebec,0.38 CDN,CRE/CRECF,http://www.cecorp.ca
"13236 Cliffstone Ct, Lake Country, BC V4V 2R1",Lake Country,ca,TSX-Venture/OTCQX/FSE,POINT (-119.41058 50.074288),Crystal Lake Mining,,British Columbia,0.15 CDN,CLM/SIOCF/SPG-FF,http://www.crystallakemining.com
"İnönü Cad. No:8, Gümüşsuyu 34437 Beyoğlu İstanbul",,tr,,POINT (28.9866 41.0371),CVK Mining Group,,Istanbul,,,http://www.cvkgroups.com
"595 Howe St, Vancouver, BC V6C 2T5",Vancouver,ca,TSX-Venture/OTCQX,POINT (-123.117446 49.284596),Defiance Silver Corp.,,British Columbia,0.22 CDN,DEF/DNCVF,http://www.defiancesilver.com
"1718 Christine Crescent, Kingston, ON K7L 4V4",Kingston,ca,TSX-Venture ,POINT (-76.51447779999999 44.294087),Delta Resources Limited,,Ontario,0.18 CDN,DLTA ,http://www.deltaresources.ca
"40 University Ave, Toronto, ON M5J 1T1",Toronto,ca,TSE/NYSE,POINT (-79.395111 43.670307),Denison Mines Corp.,,Ontario,0.50 CDN,DML/DNN,http://www.denisonmines.com
"4770 72nd St, Delta, BC V4K 3N3",Delta,ca,TSX-Venture ,POINT (-122.957852 49.091868),Desert Gold Ventures Inc.,,British Columbia,0.14 CDN,DAU ,http://www.desertgold.ca
"580 Hornby St, Vancouver, BC V6C 3B6",Vancouver,ca,TSX-Venture/OTCQX/Frankfurt,POINT (-123.117909 49.285199),Desert Mountain Energy Corp.,,British Columbia,0.23 CDN,DME/DMEHF/QM01.F,http://www.desertmountainenergy.com
"1620 Dickson Ave, Kelowna, BC V1Y 9Y2",Kelowna,ca,TSX-Venture/OTCQX,POINT (-119.461477 49.880714),Diamcor Mining Inc.,,British Columbia,0.17 CDN,DMI/DMIFF,http://www.diamcormining.com
,,,Revenue Neutral ,,Discovery Group,,,Revenue Neutral ,Revenue Neutral ,http://www.discoverygroup.ca
"1 Adelaide St, Toronto, ON M5C 2V9",Toronto,ca,TSE ,POINT (-79.37815089999999 43.6502102),Dundee Precious Metals Inc.,,Ontario,6.26 CDN,DPM ,http://www.dundeeprecious.com
,,,,,Durango Resources Inc.,,,,,http://www.durangoresourcesinc.com
"625 René-Lévesque Blvd O, Montreal, QC H3B 1R2",Montreal,ca,TSE/OTCQX,POINT (-73.564593 45.5070453),Dynacor Gold Mines Inc.,Montreal (06),Quebec,1.72 CDN,DNG/DNGDF,http://www.dynacor.com
"610 Granville St, Vancouver, BC V6C 3T3",Vancouver,ca,TSX-Venture ,POINT (-123.116598 49.283513),Dynasty Gold Corp.,,British Columbia,0.07 CDN,DYG,http://www.dynastygoldcorp.com
