add,city,country,exchange,geometry,name,region,state,stock,symbol,website
"44 12th Ave S, Cranbrook, BC V1C 2R7",Cranbrook,ca,TSX-Venture ,POINT (-115.764622 49.511249),Eagle Plains Resources Ltd.,,British Columbia,0.10 CDN,EPL,http://www.eagleplains.com
"6661 Rue des Écores, Montréal, QC H2G 2J8",Montreal,ca,,POINT (-73.594514 45.548478),Earthmetrix Inc.,,Quebec,,,http://www.earthmetrix.ca
"325 Howe St, Vancouver, BC V6C 1Z7",Vancouver,ca,TSX-Venture/OTCQX,POINT (-123.11437 49.286518),Eastfield Resources Ltd.,,British Columbia,0.04 CDN,ETF/ETFLF,http://www.eastfieldresources.com
"400 Burrard St, Vancouver, BC V6C 3A6",Vancouver,ca,,POINT (-123.117075 49.286617),Eclipse Gold Mining Corp,,British Columbia,,,http://www.eclipsegoldmining.com
"R. Sampaio e Pina 1, 1070-050 Lisboa",,pt,,POINT (-9.1333 38.7167),"EDM-Empresa de Desenvolvimento Mineiro, SA",,Distrito da Guarda,,,http://www.edm.pt
"550 Burrard St, Vancouver, BC V6C 3A8",Vancouver,ca,TSE/NYSE,POINT (-123.1177375 49.2857294),Eldorado Gold Corporation,,British Columbia,9.63 CDN,ELD/EGO,http://www.eldoradogold.com
,,,,,Elim Mining Incorporated,,,,,http://www.elimmining.com
"595 Burrard St, Vancouver BC V7X 1K8",Vancouver,ca,TSX-Venture/OTCQX,POINT (-123.120916 49.286551),Ely Gold Royalties Inc.,,British Columbia,0.48 CDN,ELY/ELYGF,http://www.elygoldinc.com
"543 Granville St, Vancouver, BC V6C 1X8",Vancouver,ca,TSX-Venture/NYSE,POINT (-123.115947 49.284352),EMX Royalty Corp.,,British Columbia,2.45 CDN,EMX,http://www.emxroyalty.com
"800 W Pender St, Vancouver, BC V6C 2V6",Vancouver,ca,TSX-Venture,POINT (-123.1164135 49.2853994),Endurance Gold Corp,,British Columbia,0.05 CDN,EDG,http://www.endurancegold.com
"543 Granville St, Vancouver, BC V6C 1X8",Vancouver,ca,TSX-Venture/OTCQX,POINT (-123.115947 49.284352),Energold Corp.,,British Columbia,0.00 CDN,EGD/EGDFF,http://www.energold.com
"82 Richmond St E, Toronto, ON M5C 1P1",Toronto,ca,TSE,POINT (-79.3750388 43.6526534),Energy Fuels Inc.,,Ontario,2.16 CDN,EFR,http://www.energyfuels.com
"750 W Pender St, Vancouver, BC V6C 2T7",Vancouver,ca,TSX-Venture,POINT (-123.115356 49.284971),Engineer Gold Mines Ltd,,British Columbia,007 CDN,EAU ,http://www.engineergoldmines.com
"1066 W Hastings St, Vancouver, BC V6E 3X1",Vancouver,ca,TSE/OTCQX,POINT (-123.118888 49.287369),Entrée Resources Ltd.,,British Columbia,0.39 CDN,ETG/ERLFF,http://www.entreeresourcesltd.com
"8331 Eastlake Dr, Burnaby, BC V5A 4W2",Burnaby,ca,CSE/OTCQX/FSE,POINT (-122.9225798 49.2577502),EnviroLeach Technologies Inc.,,British Columbia,1.20 CDN,ETI/EVLLF/7N2,http://www.enviroleach.com
"66 Hunter St, Sydney, NSW 2000",Sydney,au,Sydney (ASX),POINT (151.2103987 -33.865989),Equus Mining Limited,,New South Wales,0.02 AUS,EQE,http://www.equusmining.com
"99 Wyse Rd, Dartmouth, NS B3A 4S5",Halifax,ca,TSE/MSE,POINT (-63.576647 44.668915),Erdene Resource Development Corp.,,Nova Scotia,0.23 CDN,ERD/ERDN,http://www.erdene.com
"625 Howe St, Vancouver, BC V6C 2T6",Vancouver,ca,TSE,POINT (-123.117998 49.284231),Ero Copper Corp.,,British Columbia,18.80 CDN,ERO,http://www.erocopper.com
"789 W Pender St, Vancouver, BC V6C 1H2",Vancouver,ca,TSX-Venture ,POINT (-123.115458 49.285288),Eros Resources Corp.,,British Columbia,0.10 CDN,ERC,http://www.erosresourcescorp.com
"18 King St E, Toronto, ON M5C 1C4",Toronto,ca,TSX-Venture,POINT (-79.377094 43.649535),Evergold Corp,,Ontario,0.34 CDN,EVER,http://www.evergoldcorp.ca
"850 W Hastings St, Vancouver, BC V6C 1E1",Vancouver,ca,TSX-Venture,POINT (-123.1161579 49.2862256),Evrim Resources Corp.,,British Columbia,0.32 CDN,EVM ,http://www.evrimresources.com
"2999 North 44th St, Phoenix, AZ 85018",Phoenix,us,TSE/OTCQX,POINT (-111.9868257 33.5092104),Excelsior Mining Corp.,,Arizona,1.13 CDN,MIN/EXMGF,http://www.excelsiormining.com
"25 Adelaide St E, Toronto, ON M5C 3A1",Toronto,ca,,POINT (-79.377392 43.650491),Exiro Minerals Corp.,,Ontario,,,http://www.exirominerals.com
,,,,,Fiore Gold,,,,,http://www.fioregold.com
"1021 W Hastings St, Vancouver, BC V6E 0C3",Vancouver,ca,TSX-Venture/ FSE,POINT (-123.081309 49.281117),FireFox Gold Corp.,,British Columbia,0.08 CDN,FFOX/A2PDU7,http://www.firefoxgold.com
"925 W Georgia St, Vancouver, BC V6C3L2",Vancouver,ca,TSE/NYSE/Frankfurt,POINT (-123.111931 49.269334),First Majestic Silver Corp.,,British Columbia,13.80 CDN,FR/AG/FMV,http://www.firstmajestic.com
"1188 W Georgia St, Vancouver, BC V6E 4A2",Vancouver,ca,TSE/OTCQX,POINT (-123.1255033 49.2868278),First Mining Gold Corp.,,British Columbia,0.24 CDN,FF/FFMGF,http://www.firstmininggold.com
"1620 Dickson Ave, Kelowna, BC V1Y 9Y2",Kelowna,ca,TSE/OTCQX/FSE,POINT (-119.461477 49.880714),Fission Uranium Corp.,,British Columbia,0.28 CDN,FCU/FCUUF/2FU,http://www.fissionuranium.com
"945 Princess St, Kingston, ON K7L OE9",Kingston,ca,TSX-Venture,POINT (-76.48909949999999 44.2325936),Focus Graphite Inc.,,Ontario,0.02 CDN,FMS,http://www.focusgraphite.com
"Alberdi 643, Rio Gallegos, Santa Cruz",Río Gallegos,ar,,POINT (-69.21813 -51.62261),Fomicruz S.E.,,Santa Cruz,,,http://www.fomicruz.com
"409 Granville St, Vancouver, BC V6C 1T2",Vancouver,ca,TSX-Venture,POINT (-123.1142912 49.2853029),Foran Mining Corporation,,British Columbia,0.26 CDN,FOM,http://www.foranmining.com
"148 Fullarton St, London, ON N6A 5P3",London,ca,TSX-Venture,POINT (-81.254891 42.984319),Fortune Minerals Limited,,Ontario,0.08 CDN,FT,http://www.fortuneminerals.com
"800 W Pender St, Vancouver, BC V6C 2V6",Vancouver,ca,TSX-Venture,POINT (-123.1164135 49.2853994),Forum Energy Metals Corp.,,British Columbia,0.10 CDN,FMC,http://www.forumenergymetals.com
"1155 W Pender St, Vancouver, BC V6E 2P4",Vancouver,ca,TSX-Venture,POINT (-123.1216649 49.2880335),FPX Nickel Corp.,,British Columbia,0.16 CDN,FPX,http://www.fpxnickel.com
"2736 Belisle Dr, Val Caron, ON P3N 1B3",Val Caron,ca,TSX-Venture,POINT (-81.02797 46.60582),Frontier Lithium Inc.,,Ontario,0.25 CDN,FL,http://www.frontierlithium.com
"161 Bay St, Toronto, ON M5J 2S1",Toronto,ca,TSX-Venture,POINT (-79.3787741 43.6469),Galleon Gold Corp.,,Ontario,0.08 CDN,GGO,http://www.galleongold.com
"82 Richmond St E, Toronto, ON M5C 1P1",Toronto,ca,TSX-Venture,POINT (-79.3750388 43.6526534),Galway Metals Inc.,,Ontario,0.30 CDN,GWM ,http://www.galwaymetalsinc.com
"409 Granville St, Vancouver, BC V6C 1T2",Vancouver,ca,TSX-Venture/OTCQX/Frankfurt ,POINT (-123.1142912 49.2853029),Garibaldi Resources Corp,,British Columbia,0.71 CDN,GGI/GGIFF/RQM,http://www.garibaldiresources.com
"200 Burrard St, Vancouver BC V6C 3L6",Vancouver,ca,TSX-Venture/OTCQX/Frankfurt ,POINT (-123.1155926 49.2876624),Gatling Exploration Inc.,,British Columbia,0.47 CDN,GTR/GATGF,http://www.gatlingexploration.com
"100 King St, Toronto, ON M5X 1B1",Toronto,ca,CSE,POINT (-79.51593339999999 43.7058216),Generation Mining Limited,,Ontario,0.66 CDN,GENM ,http://www.genmining.com
"800 W Pender St, Vancouver, BC V6C 2V6",Vancouver,ca,TSX-Venture/OTCQX/Frankfurt ,POINT (-123.1164135 49.2853994),Genesis Metals,,British Columbia,0.40 CDN,GIS/GGISF,http://www.genesismetalscorp.
"75 Boulevard de Mortagne, Boucherville, QC J4B 6Y4",Boucherville,ca,TSE,POINT (-73.430087 45.596455),Geomega Resources Inc.,,Quebec,0.17 CDN,GMA,http://www.geomega.ca
"85 Hope Road, Kingston, Jamaica",,jm,,POINT (-76.7856529 18.0166933),Geophysx Jamaica Ltd,,,,,http://www.geophysx.com
"640 Broadway Ave, Saskatoon, SK S7N 1A9",,ca,TSX-Venture ,POINT (-106.6570299 52.1193285),GFG Resources Inc.,,Saskatchewan,0.17 CDN,GFG,http://www.gfgresources.com
"250 Howe St, Vancouver, BC V6C 3R8",Vancouver,ca,,POINT (-123.113253 49.286653),Globe Trotters Resource Group Inc.,,British Columbia,,,http://www.globetrottersresources.ca
"86 14th St, Rouyn-Noranda, QC J9X 2J1",Rouyn-Noranda,ca,TSE/OTCQX/Frankfurt,POINT (-79.03063899999999 48.244068),Globex Mining Enterprises Inc.,,Quebec,0.35 CDN,GMX/GLBXF/G1MN,http://www.globexmining.com
,,,,,Globmine LLP,,,,,http://tks.kz
"1090 West Georgia St, Vancouver, BC V6E 3V7",Vancouver,ca,TSX-Venture ,POINT (-123.123296 49.285369),GMV Minerals Inc.,,British Columbia,0.16 CDN,GMV ,http://www.gmvminerals.com
"1111 Melville St, Vancouver, BC V6E 3V6",Vancouver,ca,CSE,POINT (-123.122136 49.286786),Go Metals Corp.,,British Columbia,0.05 CDN,GOCO,http://www.gocobalt.ca
"200 Burrard St, Vancouver BC V6C 3L6",Vancouver,ca,multiple,POINT (-123.1155926 49.2876624),Gold Group Management Inc.,,British Columbia,multiple,multiple,http://www.goldgroup.com
"580 Hornby St, Vancouver, BC V6C 3B6",Vancouver,ca,TSX-Venture ,POINT (-123.117909 49.285199),Gold Springs Resource Corp.,,British Columbia,0.12 CDN,GRC,http://www.goldspringsresource.com
,,,,,Gold Terra Resource Corp.,,,,,http://www.goldterracorp.com
"837 W Hastings St, Vancouver, BC V6C 3N6",W Vancouver,ca,TSX-Venture ,POINT (-123.115131 49.286164),Golden Arrow Resources,,British Columbia,0.16 CDN,GRG ,http://www.goldenarrowresources.com
"688 W Hastings St, Vancouver, BC V6B 1P1",Vancouver,ca,TSX-Venture ,POINT (-123.1136946 49.2849614),Golden Goliath Resources Ltd.,,British Columbia,0.07 CDN,GNG ,http://www.goldengoliath.com
"350 Indiana St, Golden, CO 80401",Golden,us,TSE/NYSE,POINT (-105.1643438 39.7210527),Golden Minerals Company,,Colorado,0.34 CDN,AUMN,http://www.goldenminerals.com
"200 Burrard St, Vancouver, BC V6C 3L6",Vancouver,ca,TSX-Venture ,POINT (-123.1155926 49.2876624),Golden Predator Mining Corp.,,British Columbia,0.29 CDN,GPY,http://www.goldenpredator.com
"150 King St W, Toronto, ON M5H 1J9",Toronto,ca,TSE/NYSE,POINT (-79.3840045 43.648024),Golden Star Resources Limited,,Ontario,3.90 CDN,GSC/GSS,http://www.gsr.com
"1030 W Georgia St, Vancouver, BC V6E 2Y3",Vancouver,ca,TSE/SPOT/OTCQX,POINT (-123.122024 49.284541),GoldMining Inc.,,British Columbia,1.54 CDN,GOLD/GOLD/GLDLF,http://www.goldmining.com
"38 Avenue Rd Toronto, ON M5R 2G2",Toronto,ca,TSE/NASDAQ,POINT (-79.39490929999999 43.6700887),Goldmoney Inc.,,Ontario,1.85 CDN,XAU/XAUMF,http://www.goldmoney.com
"133 Richmond St W, Toronto, ON M5H 2L3",Toronto,ca,TSX-Venture ,POINT (-79.3849675 43.6502576),GoldQuest Mining Corp.,,Ontario,0.14 CDN,GQC,http://www.goldquestcorp.com
"570 Granville St, Vancouver, BC V6C 3P1",Vancouver,ca,TSX-Venture ,POINT (-123.115659 49.28372),Goldsource Mines Inc.,,British Columbia,0.08 CDN,GXS ,http://www.goldsourcemines.com
"69 Yonge St, Toronto, ON M5E 1K3",Toronto,ca,TSX-Venture ,POINT (-79.3776658 43.649079),Goldspot Discoveries Inc.,,Ontario,0.20 CDN,SPOT,http://www.goldspot.ca
"171 Donald St, Winnipeg, MB R3C 1M4",Winnipeg,ca,TSX-Venture/Frankfurt-Freiverkehr & Xetra Exchanges,POINT (-97.141018 49.889921),Gossan Resources Limited,,Manitoba,0.06 CDN,GSS/GSR,http://www.gossan.ca
"80 Richmond St W, Toronto, ON M5H 2A4",Toronto,ca,TSX-Venture ,POINT (-79.38215599999999 43.651237),Gowest Gold Ltd.,,Ontario,0.22 CDN,GWA ,http://www.gowestgold.com
"401 Bay St, Toronto, ON M5H 2Y4",Toronto,ca,TSE/OTCQX,POINT (-79.38129499999999 43.651186),Gran Colombia Gold Corp.,,Ontario,5.54 CDN,GCM/TPRFF,http://www.grancolombiagold.com
"345 Chemin Castors Rouyn-Noranda, QC J9Y 0E7",Rouyn-Noranda,ca,,POINT (-79.023769 48.304296),Greg Exploration Inc.,,Quebec,,,http://www.goldenretrievergroup.com
"3335 Yonge St, Toronto, ON M4N 2M1",Toronto,ca,TSX-Venture ,POINT (-79.404213 43.731613),Grid Metals Corp.,,Ontario,0.15 CDN,GRDM ,http://www.gridmetalscorp.com
"170 St NW, Edmonton, AB T5T 5L4",Edmonton,ca,TSX-Venture/OTCQB/FWB,POINT (-113.616225 53.534899),Grizzly Discoveries Inc.,,Alberta,0.03 CDN,GZD/GZDIF/G6H,http://www.grizzlydiscoveries.com
"666 Burrard St, Vancouver, BC V6C 3P6",Vancouver,ca,TSX-Venture ,POINT (-123.119374 49.285073),GT Gold Corp.,,British Columbia,1.45 CDN,GTT ,http://www.gtgoldcorp.ca
"827 Beaufort St, Mount Lawley, WA 6052",Perth,au,Sydney (ASX),POINT (115.8820047 -31.9247437),Hammer Metals Ltd,,Western Australia,0.02 AUS,HMX,http://www.hammermetals.com.au
"789 W Pender St, Vancouver, BC V6C 1H2",Vancouver,ca,TSX-Venture ,POINT (-123.115458 49.285288),Happy Creek Minerals Ltd.,,British Columbia,0.08 CDN,HPY ,http://www.happycreekminerals.com
"1100 Avenue des Canadiens-de-Montréal, Montréal, QC H3B 2S2",Montreal,ca,TSX-Venture ,POINT (-73.569304 45.497154),Harfang Exploration Inc.,,Quebec,0.25 CDN,HAR,http://www.harfangexploration.com
"161 Bay St, Toronto, ON M5J2S1",Toronto,ca,TSE/OTCQX/Frankfurt,POINT (-79.378658 43.646924),Harte Gold Corp.,,Ontario,0.15 CDN,HRT/HRTFF/H4O,http://www.hartegold.com
"800 W Pender St, Vancouver, BC V6C 2V6",Vancouver,ca,NYSE,POINT (-123.1164135 49.2853994),Hecla Mining Company,,British Columbia,3.06 USD,HL,http://www.hecla-mining.com
"999 Canada Place, Vancouver, BC V6C 3E1",Vancouver,ca,(See partner companies) ,POINT (-123.114011 49.287912),High Power Exploration,,British Columbia,,,http://www.hpxploration.com
"800 W Pender St, Vancouver, BC V6C 2V6",Vancouver,ca,TSX-Venture/OTCQB,POINT (-123.1164135 49.2853994),HighGold Mining Inc,,British Columbia,1.13 CDN,HIGH/HGGOF,http://www.highgoldmining.com
"3000 Rue Omer Lavallée, Montréal, QC H1Y 3R8",Montreal,ca,TSX-Venture ,POINT (-73.56148399999999 45.545607),HPQ Silicon Resources,,Quebec,0.08 CDN,HPQ,http://www.hpqsilicon.com
"1639 W 2nd Ave, Vancouver, BC V6J 1H3",Vancouver,ca,TSX-Venture/OTCQB,POINT (-123.141806 49.26977),Hudson Resources Inc.,,British Columbia,0.21 CDN,HUD/HUDRF,http://www.hudsonresourcesinc.com
"401 Bay St, Toronto, ON M5H 2Y4",Toronto,ca,TSE/NYSE,POINT (-79.38129499999999 43.651186),IAMGOLD Corporation,,Ontario,3.98  CDN,IMG/IAG,http://www.iamgold.com
"543 Granville St, Vancouver, BC V6C 1X8",Vancouver,ca,TSX-Venture/Frankfurt,POINT (-123.115947 49.284352),Impact Silver Corp.,,British Columbia,0.43 CDN,IPT/IKL,http://www.impactsilver.com
"1140 W Pender, Vancouver, BC V6E 4G1",W Vancouver,ca,TSX-Venture ,POINT (-123.121997 49.287711),Inca One Gold Corp.,,British Columbia,0.18 CDN,IO,http://www.incaone.com
"625 Howe St, Vancouver, BC, V6C 2T6",Vancouver,ca,TSX-Venture ,POINT (-123.117998 49.284231),Independence Gold Corp.,,British Columbia,0.06 CDN,IGO ,http://www.ingold.ca
"400 Burrard St, Vancouver, BC V6C 3A6",Vancouver,ca,TSX-Venture/OTCQX ,POINT (-123.117075 49.286617),Integra Resources Corp.,,British Columbia,1.32 CDN,ITR/IRRZF,http://www.integraresources.com
"20 Sixth St, New Westminster, BC V3L 2Y8",Vancouver,ca,TSX-Venture ,POINT (-122.908447 49.203426),International Millennium Mining Corp.,,British Columbia,0.03 CDN,IMI,http://www.immc.ca
"140 Arthur St, North Sydney, NSW 2060",Sydney,au,Sydney (ASX),POINT (151.2096643 -33.8410486),ioneer,,New South Wales,0.18 AUS,INR,http://www.ioneer.com
"1055 W Hastings St, Vancouver, BC V6E 2E9",Vancouver,ca,TSX-Venture/OTCQX ,POINT (-123.118268 49.2877658),IsoEnergy Ltd.,,British Columbia,0.38 CDN,ISO/ISENF,http://www.isoenergy.ca
"999 Canada Place Vancouver, BC V6C3E1",Vancouver,ca,TSE/OTCQX,POINT (-123.114011 49.287912),Ivanhoe Mines,,British Columbia,3.42 CDN,IVN/IVPAF,http://www.ivanhoemines.com
"100 King St W, Toronto, ON M5X 1C9",Toronto,ca,TSE/OTCQX,POINT (-79.471126 43.669022),Jaguar Mining Inc.,,Ontario,0.22 CDN,JAG/JAGEF,http://www.jaguarmining.com
"40 Harbour St, Kingston",Kingston,jm,,POINT (-76.7872205 17.9652966),Jamaica Stock Exchange,,,,,http://www.jamstockex.com
"62 Ord St, West Perth WA 6005",Perth,au,Sydney (ASX),POINT (115.8365073 -31.9488579),Jameson Resources Limited,,Western Australia,0.19 CDN,JAL ,http://www.jamesonresources.com.au
"669 Howe St, Vancouver, BC V6C 0B4",Vancouver,ca,TSX-Venture/OTCQX ,POINT (-123.118381 49.283911),Japan Gold Corp.,,British Columbia,0.27 CDN,JG/JGLDF,http://www.japangold.com
"1090 W Georgia St, Vancouver, BC V6E 3V7",Vancouver,ca,TSX-Venture ,POINT (-123.123296 49.285369),K92 Mining Inc.,,British Columbia,3.85 CDN,KNT,http://www.k92mining.com
"Silas Ramjan St, Labasa",Labasa,fj,Private ,POINT (179.3741655 -16.4285246),Kalo Exploration Ltd,,Northern,,,http://www.kaloexploration.com
"18 King St, Toronto, ON M5C 1C4",Toronto,ca,TSE/OTCQX,POINT (-79.377094 43.649535),Kerr Mines Inc.,,Ontario,0.15 CDN,KER/KERMF,http://www.kerrmines.com
"278 Bay St, Thunder Bay, ON P7B 1R8",Thunder Bay,ca,TSX-Venture ,POINT (-89.228801 48.431667),Kesselrun Resources Ltd.,,Ontario,0.05 CDN,KES,http://www.kesselrunresources.com
"20 Bond St, Sydney, NSW 2000",Sydney,au,Sydney (ASX),POINT (151.2084952 -33.8643523),Kingsgate Consolidated Limited,,New South Wales,0.56 AUS ,KCN,http://www.kingsgate.com.au
"25 York St, Toronto, ON M5J 2V5",Toronto,ca,TSE/NYSE,POINT (-79.3812452 43.6433721),Kinross Gold Corporation,,Ontario,6.71 CDN,K/KCG,http://www.kinross.com
"200 Bay St, Toronto, ON M5J 2J1",Toronto,ca,TSE/NYSE/Sydney(ASX) ,POINT (-79.3803017 43.6466411),Kirkland Lake Gold Ltd.,,Ontario,54.27 CDN,KL/KLA ,http://www.klgold.com
"750 W Pender St, Vancouver, BC V6C 2T7",Vancouver,ca,TSX-Venture/FSE,POINT (-123.115356 49.284971),Klondike Silver Corp.,,British Columbia,0.04 CDN,KS/K1SN,http://www.klondikesilver.com
,,,,,Kootenay Silver Inc.,,,,,http://www.kootenaysilver.com
"Skeppargatan 27, 114 52 Stockholm",Stockholm,se,FRA,POINT (18.0832053 59.3345018),Kopy Goldfields AB,,Stockholm County,0.10 Euros,0KR,http://www.kopygoldfields.com
"1030 W Georgia St, Vancouver, BC V6E 2Y3",Vancouver,ca,TSX-Venture/OTCQX ,POINT (-123.122024 49.284541),Kutcho Copper Corp.,,British Columbia,0.20 CDN,KC/KCCFF,http://www.kutcho.ca
"543 Granville St, Vancouver, BC V6C 1X8",Vancouver,ca,TSX-Venture,POINT (-123.115947 49.284352),Lara Exploration Ltd.,,British Columbia,0.59 CDN,LRA,http://www.laraexploration.com
"55 University Ave, Toronto, ON M5J 2H7",Toronto,ca,TSE/OTCQX,POINT (-79.38401 43.646957),Largo Resources Ltd.,,Ontario,1.05 CDN,LSO/LGORF,http://www.largoresources.com
"1177 W Hastings St, Vancouver, BC V6E 2K3",Vancouver,ca,TSX-Venture,POINT (-123.119792 49.287988),Latin Metals Inc.,,British Columbia,0.12 CDN,LMS,http://www.latinmetals.com
"40 King St W, Toronto, ON M5H 3S1",The Junction,ca,TSX-Venture/OTCPINK,POINT (-79.379566 43.649479),Laurion Mineral Exploration Inc.,,Ontario,0.17 CDN,LME/LMEFF,http://www.laurion.ca
"1090 W Georgia St, Vancouver, BC V6E 3V7",Vancouver,ca,TSX-Venture/OTCQB/NASDAQ First North,POINT (-123.123296 49.285369),Leading Edge Materials Corp.,,British Columbia,0.10 CDN,LEM/LEMIF/LEMSE,http://www.leadingedgematerials.com
"595 Burrard St, Vancouver, BC V7X 1J1",Vancouver,ca,TSE,POINT (-123.011694 49.210523),Leagold Mining Corporation,,British Columbia,3.59 CDN,LMC ,http://www.leagold.com
"55 University Ave, Toronto, ON M5J 2H7",Toronto,ca,Sydney (ASX),POINT (-79.38401 43.646957),Lepidico Ltd.,,Ontario,0.01 AUS,LPD ,http://www.lepidico.com
"1111 W Hastings St, Vancouver, BC V6E 2J3",W Vancouver,ca,TSX-Venture ,POINT (-123.081061 49.281127),Libero Copper,,British Columbia,0.07 CDN,LBC,http://www.liberocopper.com
"1055 W Hastings St, Vancouver, BC V6E 2E9",Vancouver,ca,TSE/OTCQX,POINT (-123.118268 49.2877658),Liberty Gold Corp.,,British Columbia,1.21 CDN,LGD/LGDTF,http://www.libertygold.ca
"267 W Esplanade, North Vancouver, BC V7M 1A5",North Vancouver,ca,TSX-Venture/OTCQX/Sydney ASX,POINT (-123.083435 49.312787),Lion One Metals,,British Columbia,1.65 CDN,LIO/LOMLF/LLO,http://www.liononemetals.com
"7184 120th St, Surrey, BC V3W 0M6",Vancouver,ca,TSX-Venture/OTCQX,POINT (-122.890114 49.133745),Lomiko Metals Inc.,,British Columbia,0.04 CDN,LMR/LMRMF,http://www.lomiko.com
"12 Old Mills Industrial Estate, Paulton, Bristol, England, BS39 7SU",Bath and North East Somerset,gb,,POINT (-2.502342 51.291783),Longland Resources Ltd,South West England,England,,,http://www.longlandresources.com
"625 Howe St, Vancouver, BC V6C 2T6",Vancouver,ca,TSX-Venture/OTCQX,POINT (-123.117998 49.284231),"Lumina Group, The",,British Columbia,0.07 CDN,LUM/LMGDF,http://www.luminagold.com
"885 W Georgia St, Vancouver, BC V6C 3E8",W Vancouver,ca,,POINT (-123.119665 49.28369),Lundin Group,,British Columbia,,,http://www.thelundingroup.com
"595 Burrard St, Vancouver, BC V7X 1K8",Vancouver,ca,TSX-Venture/OTCQX,POINT (-123.120916 49.286551),Mako Mining Corp.,,British Columbia,0.39 CDN,MKO/MAKOF,http://www.makominingcorp.com
"Boulevard Al Massira Al Khadra, Casablanca 20100",Casablanca,ma,CSE ,POINT (-7.6393407 33.5870115),MANAGEM Group,Casablanca-Settat,,"851,50 MAD",MNG,http://www.managemgroup.com
"76 Richmond St E, Toronto, ON M5C 1P1",Toronto,ca,TSE ,POINT (-79.3752557 43.6526051),Mandalay Resources Corp.,,Ontario,1.00 CDN,MND,http://www.mandalayresources.com
