name,biztype
Air Greenland Charter,Air Transportation Services
Avjet Holding Inc.,Air Transportation Services
Canadian Helicopters Limited,Air Transportation Services
Custom Helicopters Ltd.,Air Transportation Services
Drone Delivery Canada,Air Transportation Services
Dynamic Aviation Group Inc.,Air Transportation Services
Expedition Helicopters Inc.,Air Transportation Services
Heli Explore Inc.,Air Transportation Services
Helicopter Transport Services,Air Transportation Services
Kenn Borek Air,Air Transportation Services
LATAM Airlines,Air Transportation Services
Nolinor Aviation,Air Transportation Services
STAR Alliance,Air Transportation Services
Summit Helicopters,Air Transportation Services
Universal Helicopters,Air Transportation Services
Voyages Lindberg Inc.,Air Transportation Services
American Geosciences Institute,Association
ANMOPYC,Association
Brasil Pavilion,Association
"Canadian Institute of Mining, Metallurgy & Petroleum (CIM)",Association
Carpenters Union Local 2486,Association
Geological Association of Canada (GAC),Association
Greenland Business Association,Association
International Airborne Geophysics Safety Association,Association
Me Too Mining Association,Association
Mexico Pavilion,Association
Mining Industry Human Resources Council (MiHR),Association
Mining Suppliers Trade Association (MSTA Canada),Association
New Brunswick Prospectors & Developers Association,Association
Northwest Territories & Nunavut Chamber of Mines,Association
Nova Scotia Prospectors Association,Association
Professional Geoscientists Ontario (PGO),Association
"Society for Mining, Metallurgy & Exploration (SME) Inc.",Association
Society of Economic Geologists,Association
Yukon Chamber of Mines,Association
Aarhus Geophysics ApS,Consulting Services
AMC Consultants,Consulting Services
Arethuse Geology,Consulting Services
Argentine Mining Industry Pavilion,Consulting Services
Aurum Exploration Services,Consulting Services
BBA Inc.,Consulting Services
Beak Consultants GmbH,Consulting Services
BGC Engineering Inc,Consulting Services
Brunel,Consulting Services
Business Consultants Mexico,Consulting Services
Capital Street Media,Consulting Services
CGG,Consulting Services
CH Engineering & Consultants,Consulting Services
Complete MT Solutions,Consulting Services
"Condor Consulting, Inc.",Consulting Services
Corporate Traveller,Consulting Services
Cypher Environmental Ltd.,Consulting Services
DRA Americas Inc.,Consulting Services
Equity Exploration Consultants Ltd.,Consulting Services
ERM,Consulting Services
Fladgate Exploration Consulting Corporation,Consulting Services
"Foth Infrastructure & Environment, LLC",Consulting Services
Fracflow Consultants Inc.,Consulting Services
G Mining Services Inc.,Consulting Services
Geologica Inc.,Consulting Services
Geophysics GPR International Inc.,Consulting Services
Golder,Consulting Services
IGS International Geoscience Services Ltd.,Consulting Services
iMotion,Consulting Services
"Independent Mining Consultants, Inc.",Consulting Services
InnovExplo Inc.,Consulting Services
INR Engineering & Consulting Inc.,Consulting Services
Jacobs,Consulting Services
"Kappes, Cassiday & Associates",Consulting Services
Kingston Process Metallurgy Inc.,Consulting Services
Knight Piésold Ltd.,Consulting Services
Lantern,Consulting Services
LGL Limited,Consulting Services
Major Reclaim Corp.,Consulting Services
Matrix GeoTechnologies Ltd.,Consulting Services
Maxwell GeoServices,Consulting Services
Mercator Geological Services Limited,Consulting Services
MineAfrica Inc.,Consulting Services
MineHutte,Consulting Services
Mining Finland,Consulting Services
Mining Footprint Ltd.,Consulting Services
Montt Group SpA,Consulting Services
Natural History Museum Consulting,Consulting Services
Nordmin Group of Companies,Consulting Services
Objectivity,Consulting Services
Orix Geoscience Inc.,Consulting Services
"Paterson, Grant & Watson Limited",Consulting Services
Piteau Associates Engineering Ltd.,Consulting Services
Promer Consultancy Engineering Inc.,Consulting Services
R.T. Boyd Limited,Consulting Services
Risk Assistance Group,Consulting Services
Roscoe Postle Associates Inc.,Consulting Services
RPMGlobal Canada Ltd.,Consulting Services
RWDI,Consulting Services
SAXUM Engineered Solutions,Consulting Services
SimWell,Consulting Services
SolidCAD,Consulting Services
SRK Consulting Canada Inc.,Consulting Services
Stantec,Consulting Services
Story Environmental Inc.,Consulting Services
TerraCore,Consulting Services
Terrane Geoscience Inc.,Consulting Services
Tetra Tech,Consulting Services
The Claim Group Inc.,Consulting Services
TransPerfect Translations,Consulting Services
Tulloch Engineering,Consulting Services
UpDeep Project,Consulting Services
Vektore Exploration Consulting Corporation,Consulting Services
"Watts, Griffis and McOuat Limited",Consulting Services
Wood,Consulting Services
Workplace Safety North,Consulting Services
WSP Canada Inc.,Consulting Services
XPS,Consulting Services
Acker Drill Company,Drill Equip/Serv & Compressors
AMC North America Limited,Drill Equip/Serv & Compressors
AVD Drill rigs - Atelier Val d'Or,Drill Equip/Serv & Compressors
Baroid Industrial Drilling Products,Drill Equip/Serv & Compressors
BAUER Maschinen GmbH,Drill Equip/Serv & Compressors
Bg Drilling Solutions,Drill Equip/Serv & Compressors
Boart Longyear,Drill Equip/Serv & Compressors
Cabo Drilling Corp.,Drill Equip/Serv & Compressors
Comacchio Srl,Drill Equip/Serv & Compressors
Control Chemical 1989 Corporation,Drill Equip/Serv & Compressors
DBC Makina,Drill Equip/Serv & Compressors
Discovery Drill Manufacturer DDM Ltd.,Drill Equip/Serv & Compressors
Duralite Diamond Drills Ltd.,Drill Equip/Serv & Compressors
Eijkelkamp North America,Drill Equip/Serv & Compressors
Foraco International SA,Drill Equip/Serv & Compressors
Forage FTE Drilling,Drill Equip/Serv & Compressors
Forage Orbit Garant Drilling,Drill Equip/Serv & Compressors
G4 Drilling Ltd.,Drill Equip/Serv & Compressors
Geops-Bolkan Drilling Services Ltd.,Drill Equip/Serv & Compressors
Geotech Drilling Services Ltd.,Drill Equip/Serv & Compressors
Hole Products Corporation,Drill Equip/Serv & Compressors
Hydracore Drills Ltd.,Drill Equip/Serv & Compressors
Hy-Tech Drilling Ltd.,Drill Equip/Serv & Compressors
KEMAICO USA CORP.,Drill Equip/Serv & Compressors
Machines Roger International,Drill Equip/Serv & Compressors
Major Drilling,Drill Equip/Serv & Compressors
MARL Technologies Inc.,Drill Equip/Serv & Compressors
Maxidrill Inc.,Drill Equip/Serv & Compressors
Mud Bay Drilling,Drill Equip/Serv & Compressors
Multi-Power Products Ltd.,Drill Equip/Serv & Compressors
National Compressed Air Canada Ltd.,Drill Equip/Serv & Compressors
Northspan Explorations Ltd.,Drill Equip/Serv & Compressors
Northwest Drills,Drill Equip/Serv & Compressors
PHQGlobal,Drill Equip/Serv & Compressors
Pozitif Drilling Canada Ltd.,Drill Equip/Serv & Compressors
Priority Drilling Ltd.,Drill Equip/Serv & Compressors
Reflex Instruments N.A.,Drill Equip/Serv & Compressors
RNP MEXICO,Drill Equip/Serv & Compressors
Sandvik Mining,Drill Equip/Serv & Compressors
"Schramm, Inc.",Drill Equip/Serv & Compressors
Spektra Drilling,Drill Equip/Serv & Compressors
Swick Drilling North America,Drill Equip/Serv & Compressors
Team Drilling LP,Drill Equip/Serv & Compressors
VersaDrill Canada,Drill Equip/Serv & Compressors
Wink Vibracore Drill Company Ltd.,Drill Equip/Serv & Compressors
ABEL Pumps LP,Expl/Mining Equipment/Supplies
AGT Systems,Expl/Mining Equipment/Supplies
AIL Mining,Expl/Mining Equipment/Supplies
Atom Bits,Expl/Mining Equipment/Supplies
Aziwell AS,Expl/Mining Equipment/Supplies
BDI Wear Parts,Expl/Mining Equipment/Supplies
BESTECH,Expl/Mining Equipment/Supplies
Bme,Expl/Mining Equipment/Supplies
BPQ,Expl/Mining Equipment/Supplies
Canpipe,Expl/Mining Equipment/Supplies
CDN Resource Laboratories Ltd.,Expl/Mining Equipment/Supplies
Chemours,Expl/Mining Equipment/Supplies
Core Case,Expl/Mining Equipment/Supplies
Core Tech,Expl/Mining Equipment/Supplies
CoreSafe Core Trays,Expl/Mining Equipment/Supplies
Cryopeak LNG Solutions Corporation,Expl/Mining Equipment/Supplies
CyanoGuard AG,Expl/Mining Equipment/Supplies
DATC,Expl/Mining Equipment/Supplies
De Beers Group Services,Expl/Mining Equipment/Supplies
Deakin Industries,Expl/Mining Equipment/Supplies
Derrick Corporation,Expl/Mining Equipment/Supplies
Devico Directional Drilling,Expl/Mining Equipment/Supplies
Diamantina Christensen Trading Inc.,Expl/Mining Equipment/Supplies
Di-Corp,Expl/Mining Equipment/Supplies
Displasac,Expl/Mining Equipment/Supplies
Doppelmayr,Expl/Mining Equipment/Supplies
Dynamik Drilling Products,Expl/Mining Equipment/Supplies
Enterprise Holdings Ottawa,Expl/Mining Equipment/Supplies
Equipment Jexplore Inc.,Expl/Mining Equipment/Supplies
ERIEZ,Expl/Mining Equipment/Supplies
Eutectic Canada Inc.,Expl/Mining Equipment/Supplies
F.F.P. Systems Inc.,Expl/Mining Equipment/Supplies
Foremost Industries,Expl/Mining Equipment/Supplies
FWS Group of Companies,Expl/Mining Equipment/Supplies
Gekko Systems,Expl/Mining Equipment/Supplies
GeoMinera S.A.,Expl/Mining Equipment/Supplies
Geotek Ltd.,Expl/Mining Equipment/Supplies
GMS Mine Repair & Maintenance,Expl/Mining Equipment/Supplies
Halltech Exploration Outfitters,Expl/Mining Equipment/Supplies
Inertial Sensing,Expl/Mining Equipment/Supplies
Ingetrol Group,Expl/Mining Equipment/Supplies
Intelline Inc.,Expl/Mining Equipment/Supplies
IRL Supplies Ltd.,Expl/Mining Equipment/Supplies
"Jinshi Drilltech Co., Ltd.",Expl/Mining Equipment/Supplies
Kovatera,Expl/Mining Equipment/Supplies
Kuvawala Core Drill Eqpt. Pvt. Ltd.,Expl/Mining Equipment/Supplies
Levanto Canada Inc.,Expl/Mining Equipment/Supplies
Loesche South Africa,Expl/Mining Equipment/Supplies
MacLean Engineering,Expl/Mining Equipment/Supplies
Manufacture Adria inc.,Expl/Mining Equipment/Supplies
Matrix Helicopter Solutions Inc.,Expl/Mining Equipment/Supplies
MBI Drilling Products,Expl/Mining Equipment/Supplies
McDowell B. Equipment,Expl/Mining Equipment/Supplies
Megadome Buildings,Expl/Mining Equipment/Supplies
Meglab,Expl/Mining Equipment/Supplies
Metso,Expl/Mining Equipment/Supplies
"M-I SWACO, A Schlumberger Co.",Expl/Mining Equipment/Supplies
Minalyze AB,Expl/Mining Equipment/Supplies
Mincon Group PLC,Expl/Mining Equipment/Supplies
Mineral Technologies,Expl/Mining Equipment/Supplies
MMD Mineral Sizing Canada Inc.,Expl/Mining Equipment/Supplies
Northern Light Technologies,Expl/Mining Equipment/Supplies
Northern Ontario Mining Showcase,Expl/Mining Equipment/Supplies
NSS Canada,Expl/Mining Equipment/Supplies
NTT CORESAW,Expl/Mining Equipment/Supplies
Olympus,Expl/Mining Equipment/Supplies
Outotec,Expl/Mining Equipment/Supplies
Petro-Canada Fuels,Expl/Mining Equipment/Supplies
Pilot Diamond Tools,Expl/Mining Equipment/Supplies
PowerTraxx Vehicles Inc.,Expl/Mining Equipment/Supplies
Prolenc Mfg Inc,Expl/Mining Equipment/Supplies
PumpEng,Expl/Mining Equipment/Supplies
Quarry and Mining Equipment Ltd.,Expl/Mining Equipment/Supplies
RBL-REI,Expl/Mining Equipment/Supplies
RDH Mining Equipment,Expl/Mining Equipment/Supplies
ROCK-TECH,Expl/Mining Equipment/Supplies
SafeSight Exploration Inc.,Expl/Mining Equipment/Supplies
Saskatchewan Trade and Export Partnership,Expl/Mining Equipment/Supplies
"SciAps, Inc.",Expl/Mining Equipment/Supplies
SEI Industries Ltd.,Expl/Mining Equipment/Supplies
Sepro Systems,Expl/Mining Equipment/Supplies
Silicon Sensing Systems,Expl/Mining Equipment/Supplies
"SmithCo Mfg, Inc",Expl/Mining Equipment/Supplies
SNF Canada,Expl/Mining Equipment/Supplies
Son-Mak,Expl/Mining Equipment/Supplies
Spectral Evolution,Expl/Mining Equipment/Supplies
Stockholm Precision Tools AB,Expl/Mining Equipment/Supplies
SUNDRIL,Expl/Mining Equipment/Supplies
Technidrill,Expl/Mining Equipment/Supplies
Tema Isenmann Inc.,Expl/Mining Equipment/Supplies
Terraplus Inc.,Expl/Mining Equipment/Supplies
The Thyssen Mining Group of Companies,Expl/Mining Equipment/Supplies
Thermo Fisher Scientific,Expl/Mining Equipment/Supplies
Thor Global Enterprises Ltd.,Expl/Mining Equipment/Supplies
Tioga Air Heaters,Expl/Mining Equipment/Supplies
Tretan Inc.,Expl/Mining Equipment/Supplies
Vancon Core Saw Inc.,Expl/Mining Equipment/Supplies
Wajax,Expl/Mining Equipment/Supplies
"Walden Group, The",Expl/Mining Equipment/Supplies
Weatherhaven,Expl/Mining Equipment/Supplies
West End Radiators,Expl/Mining Equipment/Supplies
Westpro Machinery Inc.,Expl/Mining Equipment/Supplies
Xploration Services Greenland A/S,Expl/Mining Equipment/Supplies
Yesti Insaat ve Tic. Ltd. Sti.,Expl/Mining Equipment/Supplies
Amis,Exploration/Mining Company
Bag Supplies Canada Ltd.,Exploration/Mining Company
DMC Mining Services,Exploration/Mining Company
Dumas Contracting Ltd.,Exploration/Mining Company
Fordia Powered by Epiroc,Exploration/Mining Company
More Core Diamond Drilling Services Ltd.,Exploration/Mining Company
SCR Mining and Tunnelling L.P.,Exploration/Mining Company
Sherritt International Corporation,Exploration/Mining Company
Sigfusson Northern Ltd.,Exploration/Mining Company
Star Trace Private Ltd.,Exploration/Mining Company
S&P Global Market Intelligence,Finance Division/Institution
Davidson & Company LLP,Financial/Insurance Company
GoldFinX PTE Ltd.,Financial/Insurance Company
PDAC Partnered Insurance Program,Financial/Insurance Company
TFG Global Insurance Solutions Ltd.,Financial/Insurance Company
Thomas O'Neill & Associates Inc.,Financial/Insurance Company
BRGM,Geological Survey
"British Columbia, Ministry of Energy, Mines and Petroleum Resources",Geological Survey
Canada-Nunavut Geoscience Office,Geological Survey
"Finland, Geological Survey of",Geological Survey
Geological Survey of New South Wales (Australia Minerals),Geological Survey
Geological Survey of Victoria (Australia Minerals),Geological Survey
Geoscience Australia (Australia Minerals),Geological Survey
Mineral Resources Tasmania (Australia Minerals),Geological Survey
Namibia Geological Survey,Geological Survey
New Zealand Government,Geological Survey
Northern Territory Geological Survey (Australia Minerals),Geological Survey
"Norway, Geological Survey of",Geological Survey
Precision GeoSurveys Inc.,Geological Survey
Queensland Government (Australia Minerals),Geological Survey
"South Australia, Government of (Australia Minerals)",Geological Survey
"Sweden, Geological Survey of",Geological Survey
U.S. Geological Survey,Geological Survey
"Western Australia, Department of Mines, Industry Regulation and Safety (Australia Minerals)",Geological Survey
Abitibi Geophysics Inc.,Geophysical Services & Equip
Advanced Geophysical Operations and Services Inc. (AGCOS),Geophysical Services & Equip
Advanced Geosciences Inc.,Geophysical Services & Equip
Advanced Logic Technology (ALT),Geophysical Services & Equip
Aerogeophysica Inc.,Geophysical Services & Equip
AeroGeophysical Surveys,Geophysical Services & Equip
"Allegheny Instruments, Inc.",Geophysical Services & Equip
"Basler Turbo Conversions, LLC",Geophysical Services & Equip
ClearView Geophysics Inc.,Geophysical Services & Equip
"CRM GeoTomography Technologies, Inc.",Geophysical Services & Equip
Crone Geophysics & Exploration Ltd.,Geophysical Services & Equip
Datarock Pty Ltd.,Geophysical Services & Equip
DGI Geoscience Inc.,Geophysical Services & Equip
Dias Geophysical Limited,Geophysical Services & Equip
Discovery International Geophysics Inc.,Geophysical Services & Equip
DMT Group,Geophysical Services & Equip
ElectroMagnetic Imaging Technology,Geophysical Services & Equip
EON Geosciences Inc.,Geophysical Services & Equip
Expert Geophysics Limited,Geophysical Services & Equip
Gap - Discovery HeliSAM Ltd.,Geophysical Services & Equip
GEM Systems Advanced Magnetometers,Geophysical Services & Equip
Geo Data Solutions Inc.,Geophysical Services & Equip
GEODEVICE,Geophysical Services & Equip
Geometrics,Geophysical Services & Equip
Geonics Limited,Geophysical Services & Equip
Geoscan,Geophysical Services & Equip
GeoSight Inc.,Geophysical Services & Equip
Geotech Ltd.,Geophysical Services & Equip
Geotechnologies,Geophysical Services & Equip
Geovista,Geophysical Services & Equip
GF Instruments,Geophysical Services & Equip
Groundradar Inc.,Geophysical Services & Equip
HiSeis Pty Ltd.,Geophysical Services & Equip
IFG Corporation,Geophysical Services & Equip
Initial Exploration Services Inc.,Geophysical Services & Equip
Instrumentation GDD Inc.,Geophysical Services & Equip
International Directional Services,Geophysical Services & Equip
Kroum VS Instruments Limited,Geophysical Services & Equip
Lake Central Air Services Inc.,Geophysical Services & Equip
Lamontagne Geophysics Ltd.,Geophysical Services & Equip
LIM Logging,Geophysical Services & Equip
"LLC Scan Aero""""",Geophysical Services & Equip
Medusa Radiometrics BV,Geophysical Services & Equip
Minewise Technology,Geophysical Services & Equip
Mount Sopris Instruments,Geophysical Services & Equip
MPX Geophysics Ltd.,Geophysical Services & Equip
New Resolution Geophysics,Geophysical Services & Equip
New-Sense Geophysics Limited,Geophysical Services & Equip
Nuvia Dynamics,Geophysical Services & Equip
Phoenix Geophysics Limited,Geophysical Services & Equip
Pioneer Aerial Surveys Inc.,Geophysical Services & Equip
Quantec Geoscience,Geophysical Services & Equip
Radiation Solutions Inc.,Geophysical Services & Equip
RMS Instruments,Geophysical Services & Equip
"Robertson Geologging USA, Inc.",Geophysical Services & Equip
Sander Geophysics,Geophysical Services & Equip
Scintrex,Geophysical Services & Equip
Scott Hogg & Associates Ltd.,Geophysical Services & Equip
Semm Logging,Geophysical Services & Equip
Simcoe Geoscience Limited,Geophysical Services & Equip
Sisprobe,Geophysical Services & Equip
SkyTEM Canada Inc.,Geophysical Services & Equip
SODERN,Geophysical Services & Equip
Southern Geoscience Consultants Pty Ltd,Geophysical Services & Equip
Stratus Aeronautics Inc.,Geophysical Services & Equip
SurveyTECH Instruments,Geophysical Services & Equip
Terraquest Ltd.,Geophysical Services & Equip
Wireline Services Group,Geophysical Services & Equip
Xcalibur Airborne Geophysics,Geophysical Services & Equip
Zonge International Inc.,Geophysical Services & Equip
Afghanistan Embassy Ottawa,Government
"Argentina, Federal and provincial governments",Government
Barbados,Government
"Canada, Government of",Government
Canadian Northern Economic Development Agency CanNor,Government
"Chile, Trade Commission of",Government
"Colombia, Government of – National Mining Agency",Government
Cornwall Development Company,Government
Czech Republic,Government
Egyptian Ministry of Petroleum and Mineral Resources (MOP),Government
European Union,Government
Export Development Canada,Government
German Pavilion - Federal Ministry for Economic Affairs and Energy (BMWi),Government
"Greenland, Government of",Government
Guyana,Government
"India, Government of, Ministry of Mines",Government
Ireland Pavilion,Government
"Ireland, Department of Communications, Climate Action & Environment",Government
"Japan Oil, Gas and Metals National Corporation",Government
Manitoba Pavilion,Government
Minerals Commission Ghana,Government
Ministère de l'Energie Chargé des Ressources Naturelles Djibouti,Government
Minnesota Department of Natural Resources,Government
"Mongolia, Government of",Government
Moroccan National Office of Hydrocarbons and Mines (ONHYM),Government
Nevada,Government
New Brunswick Department of Natural Resources and Energy Development,Government
Newfoundland and Labrador: Explore the opportunities,Government
"Northern Ireland, Department for the Economy",Government
"Northwest Territories, Government of",Government
Nova Scotia Department of Energy and Mines,Government
Nunatsiavut Government,Government
"Nunavut, Government of",Government
"Ontario Ministry of Energy, Northern Development and Mines",Government
Opportunities New Brunswick,Government
Peru,Government
"Québec, Gouvernement",Government
"Red Lake, Municipality of",Government
"Saskatchewan, Government of",Government
"South Africa, Department of Mineral Resources",Government
Sudbury (Greater Sudbury),Government
Tanzania High Commission,Government
"Thunder Bay, Mining in Northwestern Ontario",Government
Wabun Tribal Council,Government
"Yukon, Government of",Government
Cigna,Health Services
Methapharm Inc.,Health Services
PLS Insoles Inc.,Health Services
Sirius Wilderness Medicine Inc.,Health Services
Sixth Wave Innovations Inc.,Junior Exploration Company
Activation Laboratories Ltd. (Actlabs),Labs/Lab Suppliers & Analytics
AGAT Laboratories Ltd.,Labs/Lab Suppliers & Analytics
Agilent Technologies,Labs/Lab Suppliers & Analytics
ALS,Labs/Lab Suppliers & Analytics
Anachemia Science,Labs/Lab Suppliers & Analytics
Blue Coast Research,Labs/Lab Suppliers & Analytics
Bruker Nano Analytics,Labs/Lab Suppliers & Analytics
Bureau Veritas Commodities Canada Ltd.,Labs/Lab Suppliers & Analytics
Chrysos Corporation Limited,Labs/Lab Suppliers & Analytics
Corescan Pty Ltd.,Labs/Lab Suppliers & Analytics
ELEMISSION Inc.,Labs/Lab Suppliers & Analytics
FLSmidth Ltd.,Labs/Lab Suppliers & Analytics
Hi Tech PMR,Labs/Lab Suppliers & Analytics
Independent Laboratory Supplies Pty Ltd.,Labs/Lab Suppliers & Analytics
Intertek,Labs/Lab Suppliers & Analytics
Klen International,Labs/Lab Suppliers & Analytics
MS Analytical,Labs/Lab Suppliers & Analytics
OREAS,Labs/Lab Suppliers & Analytics
Overburden Drilling Management Limited,Labs/Lab Suppliers & Analytics
Romquest Technologies,Labs/Lab Suppliers & Analytics
RPC,Labs/Lab Suppliers & Analytics
Scott Technology Ltd.,Labs/Lab Suppliers & Analytics
"Sepor, Inc.",Labs/Lab Suppliers & Analytics
SGS,Labs/Lab Suppliers & Analytics
Skyline Assayers & Laboratories,Labs/Lab Suppliers & Analytics
Small Modular Reactors & Mining,Labs/Lab Suppliers & Analytics
Systems for Research Corp.,Labs/Lab Suppliers & Analytics
TSL Laboratories Inc.,Labs/Lab Suppliers & Analytics
AFRI-SYNERGIES Ltd.,Law Firm
BLP Law,Law Firm
White & Case LLP,Law Firm
Alaska Structures,Other
Almazgeobur LLC,Other
AMG Metals Inc.,Other
Armtec Inc.,Other
Avigilon Corporation,Other
Axis Mining Technology Pty Ltd.,Other
Balsam Promotions,Other
"Barnard Construction Company, Inc",Other
Becker Mining Systems,Other
Belt Conveyor Guarding,Other
Bio-Mine Ltd.,Other
Budget Demolition,Other
Canada Action,Other
Canadian Council for Aboriginal Business,Other
DigiGeoData Inc.,Other
Dundee Sustainable Technologies Inc.,Other
dynaCERT Inc.,Other
E.S. Fox Limited,Other
ECO Technologies,Other
EMS Bruel & Kjaer,Other
eSupply Canada Ltd.,Other
Grenville Minerals,Other
Hitec Power Protection Inc.,Other
Horizon North Logistics Inc.,Other
ICOM Canada,Other
Innu Development Limited Partnership,Other
International SOS,Other
Keller,Other
Kitco Metals (Precious Metals Division),Other
Kitikmeot Cementation Mining & Development Ltd.,Other
Komplete Modular Solutions Ltd.,Other
Langara Island Lodge,Other
Legacy Building Solutions,Other
Magnor,Other
Matawa First Nations,Other
McCue Engineering Contractors,Other
Mining and Process Solutions Pty Ltd.,Other
Newterra Ltd.,Other
Norseman Structures,Other
Northern Mat & Bridge,Other
Nuna Logistics Partnership,Other
Nunavut Tunngavik Incorporated,Other
PhotoSat Information Ltd.,Other
PKL Group (UK) Ltd,Other
Poly-Mor Canada Inc,Other
"ROCKMORE International, Inc.",Other
"Russian Stone, The",Other
SafeBox,Other
Scott Steel Erectors Inc.,Other
Society of Exploration Geophysicists (SEG),Other
SPI Health and Safety,Other
Stebbins Engineering,Other
Stuart Olson,Other
Summit Camps,Other
Technical Translation Services,Other
Terrafix Geosynthetics Inc.,Other
The Ivey Group,Other
The West Coast Fishing Club,Other
Titan Environmental Containment,Other
UL,Other
"Valaurum, Inc.",Other
Varco Pruden Buildings (VP Buildings),Other
"VEGA Instruments, Canada Ltd.",Other
Veolia Water Technologies,Other
VICTAULIC,Other
Agnav Inc.,Remote Sensing/Mapping
Applanix,Remote Sensing/Mapping
CartoCanada Inc.,Remote Sensing/Mapping
Challenger Geomatics Ltd.,Remote Sensing/Mapping
"Descartes Labs, Inc.",Remote Sensing/Mapping
Exploration Mapping Group Inc.,Remote Sensing/Mapping
Exyn Technologies,Remote Sensing/Mapping
GeoCue Group Inc.,Remote Sensing/Mapping
Geosense,Remote Sensing/Mapping
HySpex,Remote Sensing/Mapping
HyVista Corporation Pty Ltd.,Remote Sensing/Mapping
ITRES Research Limited,Remote Sensing/Mapping
Japosat Satellite Mapping,Remote Sensing/Mapping
LiDAR Services International Inc.,Remote Sensing/Mapping
Malvern Panalytical Inc.,Remote Sensing/Mapping
McElhanney Ltd.,Remote Sensing/Mapping
Pacific Geomatics Ltd.,Remote Sensing/Mapping
Skycatch Inc.,Remote Sensing/Mapping
Southern Mapping Company,Remote Sensing/Mapping
"SpecTIR, LLC",Remote Sensing/Mapping
Taiga Robotics,Remote Sensing/Mapping
COREM,Research Organization
"Courage Services, Inc.",Research Organization
CSIRO Mineral Resources,Research Organization
Helmholtz Institute Freiberg for Resource Technology,Research Organization
Kemetco Research Inc.,Research Organization
Mineral Exploration Cooperative Research Centre,Research Organization
Russian Federation - Rosnedra,Research Organization
University of British Columbia,Research Organization
Verisk Maplecroft,Research Organization
Coast Mountain Wireless Communications Ltd.,Satellite Communications
Galaxy Broadband Communications Inc.,Satellite Communications
Globalstar Canada Satellite Co.,Satellite Communications
Infosat Communications LP,Satellite Communications
ITC Global,Satellite Communications
Network Innovations Inc.,Satellite Communications
Roadpost,Satellite Communications
Aarhus GeoSoftware,Software Company
acQuire Technology Solutions Pty Ltd.,Software Company
Alastri,Software Company
AssayNet Canada Inc.,Software Company
Beyond Limits,Software Company
Boréalis,Software Company
Caron Business Solutions Inc.,Software Company
Centric Mining Systems,Software Company
Datamine Software Canada,Software Company
Deswik,Software Company
DroneDeploy,Software Company
Enersoft,Software Company
Esri Canada,Software Company
GEOREKA Software,Software Company
Géotic Inc.,Software Company
Geovariances,Software Company
Hexagon Mining,Software Company
Imago Inc.,Software Company
Jambo,Software Company
Krux Analytics,Software Company
Maptek,Software Company
MICROMINE,Software Company
Minerva Intelligence Inc.,Software Company
Mira Geoscience Ltd.,Software Company
Promine,Software Company
Seequent,Software Company
Softsquare Solutions Inc,Software Company
ThreeDify Inc.,Software Company
Trimble,Software Company
Trueminer Software Inc.,Software Company
"Laurentian University, Harquail School of Earth Sciences",University/College
Manitoba Geoscience Education,University/College
"Queen's University, Department of Geology",University/College
Schulich Executive Education Centre (SEEC),University/College
Université de Lorraine,University/College
University of Toronto,University/College
"University of Waterloo, Department of Earth and Environmental Sciences",University/College
