id,booth,name,website
0,2215B,AbraPlata Resource Corp. ,http://www.aethonminerals.com
1,2750,Adamera Minerals Corp.,http://www.adamera.com
2,2738,Adriatic Metals Plc,http://www.adriaticmetals.com
3,2613B,Adventus Mining Corporation,http://www.adventusmining.com
4,2537,Aeris Resources Limited,http://www.aerisresources.com.au
5,2751,Affinity Metals  Corp,http://www.affinity-metals.com
6,2743,Aftermath Silver Ltd,http://www.vendettaminingcorp.com
7,2127,Agnico Eagle Mines Limited,http://www.agnicoeagle.com
8,2944,AJN Resources Inc.  ,http://www.ajnresources.com
9,2339,Alacer Gold Corp.,http://www.alacergold.com
10,2722,Alamos Gold Inc.,http://www.alamosgold.com
11,2923,Aldebaran Resources Inc.,http://www.aldebaranresources.com
12,2447,Alexco Resource Corp.,http://www.alexcoresource.com
13,2829,Almaden Minerals Ltd.,http://www.almadenminerals.com
14,3242,Altamira Gold,http://www.altamiragold.com
15,2435,Altius Minerals Corp.,http://www.altiusminerals.com
16,2622A,Alto Ventures Ltd.,http://www.altoventures.com
17,2823,ALX Resources Corp.,http://www.alxresources.com
18,2621A,Amarillo Gold Corp.,http://www.amarillogold.com
19,2753,American Creek Resources Ltd.,http://www.americancreek.com
20,2616B,Americas Gold and Silver,http://www.americas-gold.com
21,2123,Amerigo Resources Ltd.,http://www.amerigoresources.com
22,2716,Amex Exploration,http://www.amexexploration.com
23,2906,Anaconda Mining Inc.,http://www.anacondamining.com
24,2326,Andino Commodities S.A.S,
25,2325,Anglo American,http://www.angloamerican.com
26,2927,Appia Energy Corp.,http://www.appiaenergy.ca
27,2614A,Aquila Resources Inc.,http://www.aquilaresources.com
28,2103,Arctic Star Exploration Corp.,http://www.arcticstar.ca
29,3233,Ardiden Limited,http://www.ardiden.com.au
30,2351,Ares Strategic Mining Inc.,http://www.aresmining.com
31,3300,Argo Gold,http://www.argogold.ca
32,2947,Argonaut Gold Inc.,http://www.argonautgold.com
33,2146,Artemis Gold Inc.,http://www.artemisgoldinc.com
34,3212,Artisanal Gold Council,http://www.artisanalgold.org
35,2418A,Asante Gold Corporation,http://www.asantegold.com
36,2643,Ascendant Resources Inc.,http://www.ascendantresources.com
37,2329,Ascot Resources Ltd.,http://www.ascotgold.com
38,2106,Aston Bay,http://www.astonbayholdings.com
39,2610,ATAC Resources Ltd.,http://www.atacresources.com
40,2904,Atlantic Gold Corporation,http://www.atlanticgoldcorporation.com
41,3340,Auramex Resource Corp,http://www.auramex.com
42,2905,Aurania Resources Ltd.,http://www.aurania.com
43,2907,Aurora Minerals Group LLP,http://www.aurora.kz
44,3326,Aurum Discovery,http://www.aurumdiscovery.com
45,2209,AURYN Mining Corp.,http://www.aurynmining.com
46,2421A,Auryn Resources Inc.,http://www.aurynresources.com
47,2303,Avalon Advanced Materials Inc.,http://www.avalonadvancedmaterials.com
48,2608,Avidian Gold Corp.,http://www.avidiangold.com
49,2445,Avino Silver & Gold Mines Ltd.,http://www.avino.com
50,2708,Awale Resources Ltd.,http://www.awaleresources.com
51,2433,Azimut Exploration Inc.,http://www.azimut-exploration.com
52,2940,Azure Minerals Limited,http://www.azureminerals.com.au
53,2731,B2Gold Corp.,http://www.b2gold.com
54,2902,Balmoral Resources Ltd.,http://www.balmoralresources.com
55,2221B,Banyan Gold Corp.,http://www.banyangold.com
56,2415B,Barrian Mining Corp,
57,2434,Barrick Gold Corporation,http://www.barrick.com
58,3047,BeMetals Corp.,http://www.bemetalscorp.com
59,2117,Benton Resources Inc.,http://www.bentonresources.ca
60,3123,BHP,http://www.bhp.com
61,2419B,BlackRock Gold Corp.,http://www.blackrockgoldcorp.com
62,2418B,Blackstone Minerals Ltd,http://www.blackstoneminerals.com.au
63,3234,Blind Creek Resources Ltd.,http://www.blindcreekresources.com
64,2308,Blue Star Gold Corp.,http://www.bluestargold.ca
65,2749,Blue Thunder Mining Corp,http://www.bluethundermining.com
66,2931,BONTERRA Resources Inc.,http://www.btrgold.com
67,3214,Braveheart Resources Inc.,http://www.braveheartresourcesinc.com
68,2620B,Breaker Resources NL,http://www.breakerresources.com.au
69,3228,Brixton Metals Corporation,http://www.brixtonmetals.com
70,2951,BTU Metals Corp.,http://www.btumetals.com
71,2736,Buchans Resources Ltd. ,http://www.buchansresources.com
72,2219B,BWR Exploration Inc. ,http://www.bwrexploration.com
73,2831,Cabral Gold Ltd. ,http://www.cabralgold.com
74,2909,Callinex Mines Inc.,http://www.callinex.ca
75,2747,Canada Nickel Company,http://www.canadanickel.com
76,2542,Canadian Securities Exchange,http://www.thecse.com
77,2140,CanAlaska Uranium Ltd.,http://www.canalaska.com
78,3034,Canarc Resource Corp.,http://www.canarc.net
79,3031,Candente Copper Corp.,http://www.candentecopper.com
80,3151,Cantex Mine Development Corp,http://www.cantex.ca
81,3129,Cardinal Resources Ltd.,http://www.cardinalresources.com.au
82,2711,Carube Copper Corp.,http://www.carubecopper.com
83,2702,Centaurus Metals Ltd,http://www.centaurus.com.au
84,2148,Centerra Gold Inc.,http://www.centerragold.com
85,2151,Century Global Commodities Corporation,http://www.centuryglobal.ca
86,2628,Cerro de Pasco Resources Inc.,http://www.pascoresources.com
87,3325,Chakana Copper Corporation,http://www.chakanacopper.com
88,2422B,Chesapeake Gold Corporation,http://www.chesapeakegold.com
89,2431,China Gold International Resources Corp. Ltd.,http://www.chinagoldintl.com
90,2306,Clean Air Metals Inc,http://www.cleanairmetals.ca
91,3338,Columbus Gold Corp.,http://www.columbusgold.com
92,2141,Commander Resources Ltd.,http://www.commanderresources.com
93,2817,Commerce Resources Corp.,http://www.commerceresources.com
94,2946,Condor Gold Plc,http://www.condorgold.com
95,2132,Conroy Gold and Natural Resources plc,http://www.conroygold.com
96,2911,Constantine Metal Resources Ltd.,http://www.constantinemetals.com
97,3208,Consulting & Mining Sevices SRL,http://www.consultingmining.com
98,2107,Continental Gold Inc.,http://www.continentalgold.com
99,2713,Copper Fox Metals Inc.,http://www.copperfoxmetals.com
100,2420A,Copper Mountain Mining Corporation,http://www.cumtn.com
101,3036,Copperzone Resources Limited,http://www.copperzone-resources.com
102,2551,Cornerstone Capital Resources Inc.,http://www.cornerstoneresources.com
103,2518,Corvus Gold Inc.,http://www.corvusgold.com
104,2504,Critical Elements Corporation,http://www.cecorp.ca
105,2614B,Crystal Lake Mining,http://www.crystallakemining.com
106,3017,CVK Mining Group,http://www.cvkgroups.com
107,2703,Defiance Silver Corp.,http://www.defiancesilver.com
108,3032,Delta Resources Limited,http://www.deltaresources.ca
109,2514,Denison Mines Corp.,http://www.denisonmines.com
110,2349,Desert Gold Ventures Inc.,http://www.desertgold.ca
111,2845,Desert Mountain Energy Corp.,http://www.desertmountainenergy.com
112,2316,Diamcor Mining Inc.,http://www.diamcormining.com
113,2813,Discovery Group,http://www.discoverygroup.ca
114,2649,Dundee Precious Metals Inc.,http://www.dundeeprecious.com
115,2617B,Durango Resources Inc.,http://www.durangoresourcesinc.com
116,2632,Dynacor Gold Mines Inc.,http://www.dynacor.com
117,2832,Dynasty Gold Corp.,http://www.dynastygoldcorp.com
118,2319,Eagle Plains Resources Ltd.,http://www.eagleplains.com
119,2932,Earthmetrix Inc.,http://www.earthmetrix.ca
120,2620A,Eastfield Resources Ltd.,http://www.eastfieldresources.com
121,2948,Eclipse Gold Mining Corp,http://www.eclipsegoldmining.com
122,2136,"EDM-Empresa de Desenvolvimento Mineiro, SA",http://www.edm.pt
123,2732,Eldorado Gold Corporation,http://www.eldoradogold.com
124,2347,Elim Mining Incorporated,http://www.elimmining.com
125,3012,Ely Gold Royalties Inc.,http://www.elygoldinc.com
126,2651,EMX Royalty Corp.,http://www.emxroyalty.com
127,2622B,Endurance Gold Corp,http://www.endurancegold.com
128,2516,Energold Corp.,http://www.energold.com
129,2452,Energy Fuels Inc.,http://www.energyfuels.com
130,3232,Engineer Gold Mines Ltd,http://www.engineergoldmines.com
131,2712,Entrée Resources Ltd.,http://www.entreeresourcesltd.com
132,2333,EnviroLeach Technologies Inc.,http://www.enviroleach.com
133,3216,Equus Mining Limited,http://www.equusmining.com
134,2112,Erdene Resource Development Corp.,http://www.erdene.com
135,3222,Ero Copper Corp.,http://www.erocopper.com
136,3308,Eros Resources Corp.,http://www.erosresourcescorp.com
137,3332,E-Tech Metals,http://www.etechmetals.com
138,3140,Evergold Corp,http://www.evergoldcorp.ca
139,3040,Evrim Resources Corp.,http://www.evrimresources.com
140,2809,Excelsior Mining Corp.,http://www.excelsiormining.com
141,2153,Exiro Minerals Corp.,http://www.exirominerals.com
142,2950,Fiore Gold,http://www.fioregold.com
143,3139,FireFox Gold Corp.,http://www.firefoxgold.com
144,2501,First Majestic Silver Corp. ,http://www.firstmajestic.com
145,2729,First Mining Gold Corp.,http://www.firstmininggold.com
146,2641,Fission Uranium Corp.,http://www.fissionuranium.com
147,2739,Five Star Diamond Limited,http://www.ionenergy.ca
148,2726,Focus Graphite Inc.,http://www.focusgraphite.com
149,3016,Fomicruz S.E. ,http://www.fomicruz.com
150,2616A,Foran Mining Corporation,http://www.foranmining.com
151,2837,Fortune Minerals Limited,http://www.fortuneminerals.com
152,2825,Forum Energy Metals Corp.,http://www.forumenergymetals.com
153,2425A,FPX Nickel Corp.,http://www.fpxnickel.com
154,3236,Frontier Lithium Inc.,http://www.frontierlithium.com
155,3302,Galleon Gold Corp. ,http://www.galleongold.com
156,2623A,Galway Metals Inc.,http://www.galwaymetalsinc.com
157,3149,Garibaldi Resources Corp,http://www.garibaldiresources.com
158,2833,Gatling Exploration Inc.,http://www.gatlingexploration.com
159,3220,Generation Mining Limited,http://www.genmining.com
160,2746,Genesis Metals,http://www.genesismetalscorp.
161,2642,Geomega Resources Inc.,http://www.geomega.ca
162,3310,Geophysx Jamaica Ltd,http://www.geophysx.com
163,3130,GFG Resources Inc.,http://www.gfgresources.com
164,2949,Globe Trotters Resource Group Inc.,http://www.globetrottersresources.ca
165,2718,Globex Mining Enterprises Inc.,http://www.globexmining.com
166,3316,Globmine LLP,http://tks.kz
167,2338,GMV Minerals Inc.,http://www.gmvminerals.com
168,2625B,Go Metals Corp.,http://www.gocobalt.ca
169,2108,Gold Group Management Inc.,http://www.goldgroup.com
170,2928,Gold Springs Resource Corp.,http://www.goldspringsresource.com
171,2304,Gold Terra Resource Corp.,http://www.goldterracorp.com
172,2924,Golden Arrow Resources,http://www.goldenarrowresources.com
173,2543,Golden Goliath Resources Ltd.,http://www.goldengoliath.com
174,2706,Golden Minerals Company,http://www.goldenminerals.com
175,2650,Golden Predator Mining Corp.,http://www.goldenpredator.com
176,2305,Golden Star Resources Limited,http://www.gsr.com
177,2526,GoldMining Inc.,http://www.goldmining.com
178,3131,Goldmoney Inc.,http://www.goldmoney.com
179,2844,GoldQuest Mining Corp.,http://www.goldquestcorp.com
180,2449,Goldsource Mines Inc.,http://www.goldsourcemines.com
181,2646,Goldspot Discoveries Inc.,http://www.goldspot.ca
182,2615A,Gossan Resources Limited,http://www.gossan.ca
183,2824,Gowest Gold Ltd.,http://www.gowestgold.com
184,2348,GR Sliver Mining Ltd.,http://www.grsilvermining.com
185,2310,Gran Colombia Gold Corp.,http://www.grancolombiagold.com
186,2114,Greg Exploration Inc.,http://www.goldenretrievergroup.com
187,2122,Grid Metals Corp.,http://www.gridmetalscorp.com
188,3020,Grizzly Discoveries Inc.,http://www.grizzlydiscoveries.com
189,2323,GT Gold Corp.,http://www.gtgoldcorp.ca
190,2938,Hammer Metals Ltd,http://www.hammermetals.com.au
191,2425B,Happy Creek Minerals Ltd.,http://www.happycreekminerals.com
192,3030,Harfang Exploration Inc.,http://www.harfangexploration.com
193,2820,Harte Gold Corp.,http://www.hartegold.com
194,2437,Hecla Mining Company,http://www.hecla-mining.com
195,2416A,High Power Exploration,http://www.hpxploration.com
196,3245,HighGold Mining Inc,http://www.highgoldmining.com
197,2145,HPQ Silicon Resources,http://www.hpqsilicon.com
198,2648,Hudson Resources Inc.,http://www.hudsonresourcesinc.com
199,2522,IAMGOLD Corporation,http://www.iamgold.com
200,2505,Impact Silver Corp.,http://www.impactsilver.com
201,3035,Inca One Gold Corp.,http://www.incaone.com
202,2741,Independence Gold Corp.,http://www.ingold.ca
203,2147,Integra Resources Corp.,http://www.integraresources.com
204,3128,International Millennium Mining Corp.,http://www.immc.ca
205,2109,ioneer,http://www.ioneer.com
206,2421B,IsoEnergy Ltd.,http://www.isoenergy.ca
207,2414A,Ivanhoe Mines,http://www.ivanhoemines.com
208,2430,Jaguar Mining Inc.,http://www.jaguarmining.com
209,3146,Jamaica Stock Exchange,http://www.jamstockex.com
210,3137,Jameson Resources Limited,http://www.jamesonresources.com.au
211,2606,Japan Gold Corp.,http://www.japangold.com
212,3033,K92 Mining Inc.,http://www.k92mining.com
213,3218,Kalo Exploration Ltd,http://www.kaloexploration.com
214,2621B,Keras Resources plc,http://www.kerasplc.com
215,2618A,Kerr Mines Inc.,http://www.kerrmines.com
216,2536,Kesselrun Resources Ltd.,http://www.kesselrunresources.com
217,2341,Kingsgate Consolidated Limited,http://www.kingsgate.com.au
218,2913,Kinross Gold Corporation,http://www.kinross.com
219,2313,Kirkland Lake Gold Ltd. ,http://www.klgold.com
220,3231,Klondike Silver Corp.,http://www.klondikesilver.com
221,3148,Kootenay Silver Inc.,http://www.kootenaysilver.com
222,2302,Kopy Goldfields AB,http://www.kopygoldfields.com
223,3023,Kutcho Copper Corp.,http://www.kutcho.ca
224,2700,Lara Exploration Ltd.,http://www.laraexploration.com
225,3147,Largo Resources Ltd.,http://www.largoresources.com
226,3143,Latin Metals Inc.,http://www.latinmetals.com
227,3025,Laurion Mineral Exploration Inc.,http://www.laurion.ca
228,2941,Leading Edge Materials Corp.,http://www.leadingedgematerials.com
229,2843,Leagold Mining Corporation,http://www.leagold.com
230,2332,Lepidico Ltd.,http://www.lepidico.com
231,2508,Libero Copper,http://www.liberocopper.com
232,3206,Liberty Gold Corp.,http://www.libertygold.ca
233,3021,Lion One Metals,http://www.liononemetals.com
234,2547,Lomiko Metals Inc.,http://www.lomiko.com
235,3342,Longland Resources Ltd,http://www.longlandresources.com
236,2704,"Lumina Group, The",http://www.luminagold.com
237,2515,Lundin Group ,http://www.thelundingroup.com
238,2710,Mako Mining Corp.,http://www.makominingcorp.com
