id,biz_type,booth,name,website
0,Air Transportation Services,415,Air Greenland Charter,http://www.airgreenland.com
1,Air Transportation Services,624,Avjet Holding Inc.,http://www.avjet.ca
2,Air Transportation Services,917,Canadian Helicopters Limited,http://www.canadianhelicopters.ca
3,Air Transportation Services,152,Custom Helicopters Ltd.,http://www.customheli.com
4,Air Transportation Services,6724N,Drone Delivery Canada,http://www.dronedeliverycanada.com
5,Air Transportation Services,626,Dynamic Aviation Group Inc.,http://www.dynamicaviation.com
6,Air Transportation Services,1223,Expedition Helicopters Inc.,http://www.expeditionhelicopters.com
7,Air Transportation Services,527,Heli Explore Inc.,http://www.heliexplore.ca
8,Air Transportation Services,726,Helicopter Transport Services,http://www.htsc.ca
9,Air Transportation Services,6403N,Kenn Borek Air,http://www.borekair.com
10,Air Transportation Services,7514N,LATAM Airlines,http://www.latam.com
11,Air Transportation Services,6506N,Nolinor Aviation,http://www.nolinor.com
12,Air Transportation Services,6828N,STAR Alliance,http://www.staralliance.com
13,Air Transportation Services,849,Summit Helicopters,http://www.summithelicopters.ca
14,Air Transportation Services,1044,Universal Helicopters,http://www.uhgroup.ca
15,Air Transportation Services,6930N,Voyages Lindberg Inc.,http://www.voyageslindberg.com
16,Association,6500N,American Geosciences Institute,http://www.americangeosciences.org
17,Association,6631N,ANMOPYC,http://www.anmopyc.es
18,Association,1303,Brasil Pavilion,http://www.adimb.org.br/brasilpdac
19,Association,215,"Canadian Institute of Mining, Metallurgy & Petroleum (CIM)",http://www.cim.org
20,Association,6627N,Carpenters Union Local 2486,http://www.carpenterslocal2486.com
21,Association,6401N,Geological Association of Canada (GAC),http://www.gac.ca
22,Association,413,Greenland Business Association,http://www.ga.gl
23,Association,6206N,International Airborne Geophysics Safety Association,http://www.iagsa.ca
24,Association,6428N,Me Too Mining Association,http://www.metoomining.com
25,Association,1215,Mexico Pavilion,http://www.geoimin.com.mx
26,Association,6508N,Mining Industry Human Resources Council (MiHR),http://www.mihr.ca
27,Association,919,Mining Suppliers Trade Association (MSTA Canada),http://www.mstacanada.ca
28,Association,138,New Brunswick Prospectors & Developers Association,http://www.nbpda.org
29,Association,1008,Northwest Territories & Nunavut Chamber of Mines,http://www.miningnorth.com
30,Association,137,Nova Scotia Prospectors Association,http://www.prospectors.ns.ca
31,Association,851,Professional Geoscientists Ontario (PGO),http://www.pgo.ca
32,Association,218,"Society for Mining, Metallurgy & Exploration (SME) Inc.",http://www.smenet.org
33,Association,718,Society of Economic Geologists,http://www.segweb.org
34,Association,427,Yukon Chamber of Mines,http://www.yukonminers.org
35,Consulting Services,1449,Aarhus Geophysics ApS,http://www.aarhusgeo.com
36,Consulting Services,448,AMC Consultants,http://www.amcconsultants.com
37,Consulting Services,605,Arethuse Geology,http://www.arethusegeology.com
38,Consulting Services,1023,Argentine Mining Industry Pavilion,http://www.altoamericas.com.ar
39,Consulting Services,716,Aurum Exploration Services,http://www.aurumexploration.com
40,Consulting Services,724,BBA Inc.,http://www.bba.ca
41,Consulting Services,915,Beak Consultants GmbH,http://www.beak.de
42,Consulting Services,6215N,BGC Engineering Inc,http://www.bgcengineering.ca
43,Consulting Services,7307N,Brunel,http://www.brunelcanada.ca
44,Consulting Services,1229,Business Consultants Mexico,http://www.businessconsultantsmex.com
45,Consulting Services,7404N,Capital Street Media,http://www.capitalstreetmedia.com
46,Consulting Services,"203, 7523N",CGG,http://www.cgg.com
47,Consulting Services,7316N,CH Engineering & Consultants,http://www.chconsultants.com
48,Consulting Services,210,Complete MT Solutions,http://www.complete-mt-solutions.com
49,Consulting Services,6400N,"Condor Consulting, Inc.",http://www.condorconsult.com
50,Consulting Services,845,Corporate Traveller,http://www.corporatetraveller.ca
51,Consulting Services,1336,Cypher Environmental Ltd.,http://www.cypherenvironmental.com
52,Consulting Services,423,DRA Americas Inc.,http://www.draglobal.com
53,Consulting Services,6217N,Equity Exploration Consultants Ltd.,http://www.equityexploration.com
54,Consulting Services,326,ERM,http://www.erm.com
55,Consulting Services,703,Fladgate Exploration Consulting Corporation,http://www.fladgateexploration.com
56,Consulting Services,1129,"Foth Infrastructure & Environment, LLC",http://www.foth.com
57,Consulting Services,344,Fracflow Consultants Inc.,http://www.fracflow.com
58,Consulting Services,1238,G Mining Services Inc.,http://www.gmining.com
59,Consulting Services,333,Geologica Inc.,http://www.geologica.qc.ca
60,Consulting Services,1004,Geophysics GPR International Inc.,http://www.geophysicsgpr.com
61,Consulting Services,342,Golder,http://www.golder.com
62,Consulting Services,253,IGS International Geoscience Services Ltd.,http://www.igsint.com
63,Consulting Services,7315N,iMotion,http://www.imotion.ca
64,Consulting Services,719,"Independent Mining Consultants, Inc.",http://www.imctucson.com
65,Consulting Services,239,InnovExplo Inc.,http://www.innovexplo.com
66,Consulting Services,7128N,INR Engineering & Consulting Inc.,http://www.inr.com.tr
67,Consulting Services,1407,Jacobs,http://www.jacobs.com
68,Consulting Services,1131,"Kappes, Cassiday & Associates",http://www.kcareno.com
69,Consulting Services,119,Kingston Process Metallurgy Inc.,http://www.kpm.ca
70,Consulting Services,1041,Knight Piésold Ltd.,http://www.knightpiesold.com
71,Consulting Services,6431N,Lantern,http://www.drillwithlantern.com
72,Consulting Services,6201N,LGL Limited,http://www.lgl.com
73,Consulting Services,6323N,Major Reclaim Corp.,http://www.majorreclaim.com
74,Consulting Services,1106,Matrix GeoTechnologies Ltd.,http://www.matrixgt.com
75,Consulting Services,424,Maxwell GeoServices,http://www.maxgeo.com
76,Consulting Services,440,Mercator Geological Services Limited,http://www.mercatorgeo.com
77,Consulting Services,923,MineAfrica Inc.,http://www.mineafrica.com
78,Consulting Services,1228,MineHutte,http://www.minehutte.com
79,Consulting Services,6310N,Mining Finland,http://www.miningfinland.com
80,Consulting Services,7406N,Mining Footprint Ltd.,http://www.miningfootprint.com
81,Consulting Services,1123,Montt Group SpA,http://www.monttgroup.com
82,Consulting Services,338,Natural History Museum Consulting,http://www.nhm.ac.uk/business-services/consulting
83,Consulting Services,6823N,Nordmin Group of Companies,http://www.nordmin.com
84,Consulting Services,1053,Objectivity,http://www.objectivity.ca
85,Consulting Services,353,Orix Geoscience Inc.,http://www.orixgeo.com
86,Consulting Services,522,"Paterson, Grant & Watson Limited",http://www.pgw.ca
87,Consulting Services,523,Piteau Associates Engineering Ltd.,http://www.piteau.com
88,Consulting Services,1202,Promer Consultancy Engineering Inc.,http://www.promerengineering.com.tr
89,Consulting Services,617,R.T. Boyd Limited,http://www.rtboydlimited.com
90,Consulting Services,7318N,Risk Assistance Group,http://www.riskassistancegroup.com
91,Consulting Services,316,Roscoe Postle Associates Inc.,http://www.rpacan.com
92,Consulting Services,708,RPMGlobal Canada Ltd.,http://www.rpmglobal.com
93,Consulting Services,502,RWDI,http://www.rwdi.com
94,Consulting Services,6826N,SAXUM Engineered Solutions,http://www.saxum.us
95,Consulting Services,7306N,SimWell,http://www.simwell.ca
96,Consulting Services,7217N,SolidCAD,http://www.solidcad.ca
97,Consulting Services,113,SRK Consulting Canada Inc.,http://www.srk.com
98,Consulting Services,609,Stantec,http://spotlight.stantec.com
99,Consulting Services,1133,Story Environmental Inc.,http://www.storyenvironmental.com
100,Consulting Services,1324,TerraCore,http://www.terracoregeo.com
101,Consulting Services,1136,Terrane Geoscience Inc.,http://www.terranegeoscience.com
102,Consulting Services,908,Tetra Tech,http://www.tetratech.com
103,Consulting Services,1111,The Claim Group Inc.,http://www.theclaimgroup.com
104,Consulting Services,623,TransPerfect Translations,http://www.transperfect.com
105,Consulting Services,524,Tulloch Engineering,http://www.tulloch.ca
106,Consulting Services,6306N,UpDeep Project,http://newprojects.gtk.fi/updeep
107,Consulting Services,452,Vektore Exploration Consulting Corporation,http://www.vektore.com
108,Consulting Services,901,"Watts, Griffis and McOuat Limited",http://www.wgm.ca
109,Consulting Services,1100,Wood,http://www.woodplc.com
110,Consulting Services,6929N,Workplace Safety North,http://www.workplacesafetynorth.ca
111,Consulting Services,1216,WSP Canada Inc.,http://www.wsp.com
112,Consulting Services,615,XPS ,http://www.xps.ca
113,Drill Equip/Serv & Compressors,512,Acker Drill Company,http://www.ackerdrill.com
114,Drill Equip/Serv & Compressors,323,AMC North America Limited,http://www.amcmud.com
115,Drill Equip/Serv & Compressors,7231N,AVD Drill rigs - Atelier Val d'Or,http://www.ateliervd.qc.ca
116,Drill Equip/Serv & Compressors,809,Baroid Industrial Drilling Products,http://www.baroididp.com
117,Drill Equip/Serv & Compressors,515,BAUER Maschinen GmbH,http://www.bauer.de
118,Drill Equip/Serv & Compressors,112,Bg Drilling Solutions,http://www.bg-drilling.com
119,Drill Equip/Serv & Compressors,101,Boart Longyear,http://www.boartlongyear.com
120,Drill Equip/Serv & Compressors,430,Cabo Drilling Corp.,http://www.cabo.ca
121,Drill Equip/Serv & Compressors,6723N,Comacchio Srl,http://www.comacchio.com
122,Drill Equip/Serv & Compressors,1142,Control Chemical 1989 Corporation,http://www.matexdrillingfluids.ca
123,Drill Equip/Serv & Compressors,6307N,DBC Makina,http://www.dbcmakina.com
124,Drill Equip/Serv & Compressors,1251,Discovery Drill Manufacturer DDM Ltd.,http://www.discoverydrills.com
125,Drill Equip/Serv & Compressors,447,Duralite Diamond Drills Ltd.,http://www.duralitediamonddrills.com
126,Drill Equip/Serv & Compressors,6931N,Eijkelkamp North America,http://www.eijkelkamp-usa.com
127,Drill Equip/Serv & Compressors,1141,Foraco International SA,http://www.foraco.com
128,Drill Equip/Serv & Compressors,6522N,Forage FTE Drilling,http://www.foragefte.com
129,Drill Equip/Serv & Compressors,240,Forage Orbit Garant Drilling,http://www.orbitgarant.com
130,Drill Equip/Serv & Compressors,7211N,G4 Drilling Ltd.,http://www.g4drilling.com
131,Drill Equip/Serv & Compressors,7308N,Geops-Bolkan Drilling Services Ltd.,http://www.geopsbg.com
132,Drill Equip/Serv & Compressors,100,Geotech Drilling Services Ltd.,http://www.geotechdrilling.com
133,Drill Equip/Serv & Compressors,6313N,Hole Products Corporation,http://www.holeproducts.com
134,Drill Equip/Serv & Compressors,6926N,Hydracore Drills Ltd.,http://www.hydracore.com
135,Drill Equip/Serv & Compressors,351,Hy-Tech Drilling Ltd.,http://www.hy-techdrilling.com
136,Drill Equip/Serv & Compressors,7426N,KEMAICO USA CORP.,http://WWW.KEMAICO.COM
137,Drill Equip/Serv & Compressors,1337,Machines Roger International,http://www.machines-roger.com
138,Drill Equip/Serv & Compressors,330,Major Drilling,http://www.majordrilling.com
139,Drill Equip/Serv & Compressors,6434N,MARL Technologies Inc.,http://www.marltechnologies.com
140,Drill Equip/Serv & Compressors,401,Maxidrill Inc.,http://www.maxidrill.com
141,Drill Equip/Serv & Compressors,1332,Mud Bay Drilling,http://www.mudbaydrilling.com
142,Drill Equip/Serv & Compressors,1151,Multi-Power Products Ltd.,http://www.multipowerproducts.com
143,Drill Equip/Serv & Compressors,518,National Compressed Air Canada Ltd.,http://www.nationalcompressedair.com
144,Drill Equip/Serv & Compressors,6405N,Northspan Explorations Ltd.,http://www.northspan.ca
145,Drill Equip/Serv & Compressors,651,Northwest Drills,http://www.nwdrills.com
146,Drill Equip/Serv & Compressors,1231,PHQGlobal,http://www.phqglobal.com
147,Drill Equip/Serv & Compressors,1250,Pozitif Drilling Canada Ltd.,http://www.pozitifdrilling.com
148,Drill Equip/Serv & Compressors,1149,Priority Drilling Ltd.,http://www.prioritydrilling.ie
149,Drill Equip/Serv & Compressors,327,Reflex Instruments N.A.,http://www.reflexnow.com
150,Drill Equip/Serv & Compressors,6300N,RNP MEXICO,http://www.rnpsa.com
151,Drill Equip/Serv & Compressors,829,Sandvik Mining,http://www.sandvik.com
152,Drill Equip/Serv & Compressors,322,"Schramm, Inc.",http://www.schramminc.com
153,Drill Equip/Serv & Compressors,1015,Spektra Drilling,http://www.spektra.com.tr
154,Drill Equip/Serv & Compressors,1048,Swick Drilling North America,http://www.swickmining.com
155,Drill Equip/Serv & Compressors,1246,Team Drilling LP,http://www.teamdrilling.com
156,Drill Equip/Serv & Compressors,751,VersaDrill Canada,http://www.versadrillcanada.com
157,Drill Equip/Serv & Compressors,1139,Wink Vibracore Drill Company Ltd.,http://www.vibracorer.com
158,Expl/Mining Equipment/Supplies,6327N,ABEL Pumps LP,http://www.abelpumps.com
159,Expl/Mining Equipment/Supplies,432,AGT Systems,http://www.agtsys.ca
160,Expl/Mining Equipment/Supplies,710,AIL Mining,http://www.ailmining.com
161,Expl/Mining Equipment/Supplies,6530N,Atom Bits,http://www.atombits.ca
162,Expl/Mining Equipment/Supplies,6409N,Aziwell AS,http://www.aziwell.com
163,Expl/Mining Equipment/Supplies,6925N,BESTECH,http://www.bestech.com
164,Expl/Mining Equipment/Supplies,1453,Bme,http://www.bme.co.za
165,Expl/Mining Equipment/Supplies,6324N,BPQ,http://www.bpq.ca
166,Expl/Mining Equipment/Supplies,6526N,Canpipe,http://www.canpipe.com
167,Expl/Mining Equipment/Supplies,1227,CDN Resource Laboratories Ltd.,http://www.cdnlabs.com
168,Expl/Mining Equipment/Supplies,128,Chemours,http://www.chemours.com
169,Expl/Mining Equipment/Supplies,1147,Core Case,http://www.corecase.com
170,Expl/Mining Equipment/Supplies,6825N,Core Tech,http://www.coretech.com.pe
171,Expl/Mining Equipment/Supplies,1244,CoreSafe Core Trays,http://www.coresafecoretrays.ca
172,Expl/Mining Equipment/Supplies,7331N,Cryopeak LNG Solutions Corporation,http://www.cryopeak.com
173,Expl/Mining Equipment/Supplies,6335N,CyanoGuard AG,http://www.cyanoguard.com
174,Expl/Mining Equipment/Supplies,937,DATC,http://www.datc-group.com
175,Expl/Mining Equipment/Supplies,6304N,De Beers Group Services,http://www.debtech.com
176,Expl/Mining Equipment/Supplies,1212,Deakin Industries,http://www.deakin.com
177,Expl/Mining Equipment/Supplies,1019,Derrick Corporation,http://www.derrick.com
178,Expl/Mining Equipment/Supplies,517,Devico Directional Drilling,http://www.devico.com
179,Expl/Mining Equipment/Supplies,1328,Diamantina Christensen Trading Inc.,http://www.diamantinachristensen.com
180,Expl/Mining Equipment/Supplies,426,Di-Corp,http://www.di-corp.com
181,Expl/Mining Equipment/Supplies,7325N,Displasac,http://www.displasacperu.com
182,Expl/Mining Equipment/Supplies,1403,Doppelmayr,http://www.doppelmayr-mts.com
183,Expl/Mining Equipment/Supplies,1000,Dynamik Drilling Products,http://www.dynamik.com
184,Expl/Mining Equipment/Supplies,6824N,Enterprise Holdings Ottawa,http://www.enterprisetrucks.com
185,Expl/Mining Equipment/Supplies,1146,Equipment Jexplore Inc.,http://www.jexploreinc.com
186,Expl/Mining Equipment/Supplies,1140,ERIEZ,http://www.eriez.com
187,Expl/Mining Equipment/Supplies,6411N,Eutectic Canada Inc.,http://www.eutectic.ca
188,Expl/Mining Equipment/Supplies,947,F.F.P. Systems Inc.,http://www.ffpsystems.com
189,Expl/Mining Equipment/Supplies,433,Foremost Industries,http://www.foremost.ca
190,Expl/Mining Equipment/Supplies,314,FWS Group of Companies,http://www.fwsgroup.com
191,Expl/Mining Equipment/Supplies,305,Gekko Systems,http://www.gekkos.com
192,Expl/Mining Equipment/Supplies,6635N,GeoMinera S.A.,http://www.gmsa.cu
193,Expl/Mining Equipment/Supplies,6127N,Geotek Ltd.,http://www.geotek.co.uk
194,Expl/Mining Equipment/Supplies,7209N,GMS Mine Repair & Maintenance,http://www.gmsminerepair.com
195,Expl/Mining Equipment/Supplies,108,Halltech Exploration Outfitters,http://www.htex.com
196,Expl/Mining Equipment/Supplies,6510N,Inertial Sensing,http://www.inertialsensing.com
197,Expl/Mining Equipment/Supplies,713,Ingetrol Group,http://www.ingetrol.com
198,Expl/Mining Equipment/Supplies,608,IRL Supplies Ltd.,http://www.irlsupplies.com
199,Expl/Mining Equipment/Supplies,6315N,"Jinshi Drilltech Co., Ltd.",http://www.jsexplo.com
200,Expl/Mining Equipment/Supplies,6322N,Kovatera,http://www.minecat.com
201,Expl/Mining Equipment/Supplies,6205N,Kuvawala Core Drill Eqpt. Pvt. Ltd.,http://www.kuvawalacoredrill.com
202,Expl/Mining Equipment/Supplies,1110,Levanto Canada Inc.,http://www.levanto.fi/en
203,Expl/Mining Equipment/Supplies,7410N,Loesche South Africa,http://www.loesche.com
204,Expl/Mining Equipment/Supplies,216,MacLean Engineering,http://www.macleanengineering.com
205,Expl/Mining Equipment/Supplies,441,Manufacture Adria inc.,http://www.adria-corp.com
206,Expl/Mining Equipment/Supplies,1112,Matrix Helicopter Solutions Inc.,http://www.matrixco.ca
207,Expl/Mining Equipment/Supplies,1322,MBI Drilling Products,http://www.mbidrillingproducts.com
208,Expl/Mining Equipment/Supplies,503,McDowell B. Equipment,http://www.bmcdowell.com
209,Expl/Mining Equipment/Supplies,613,Megadome Buildings,http://www.megadomebuildings.com
210,Expl/Mining Equipment/Supplies,6413N,Meglab,http://www.meglab.ca
211,Expl/Mining Equipment/Supplies,7530N,Metso,http://www.metso.com
212,Expl/Mining Equipment/Supplies,1302,"M-I SWACO, A Schlumberger Co. ",http://www.slb.com
213,Expl/Mining Equipment/Supplies,853,Minalyze AB,http://www.minalyze.com
214,Expl/Mining Equipment/Supplies,913,Mincon Group PLC,http://www.mincon.com
215,Expl/Mining Equipment/Supplies,249,Mineral Technologies,http://www.mineraltechnologies.com
216,Expl/Mining Equipment/Supplies,6229N,MMD Mineral Sizing Canada Inc.,http://www.mmdsizers.com
217,Expl/Mining Equipment/Supplies,6435N,Northern Light Technologies,http://www.nltinc.com
218,Expl/Mining Equipment/Supplies,6501N,Northern Ontario Mining Showcase,http://www.northernontariomining.com
219,Expl/Mining Equipment/Supplies,513,NSS Canada,http://www.nsscanada.com
220,Expl/Mining Equipment/Supplies,1113,NTT CORESAW,http://www.nttcoresaw.com
221,Expl/Mining Equipment/Supplies,914,Olympus,http://www.olympus-ims.com
222,Expl/Mining Equipment/Supplies,803,Outotec,http://www.outotec.com
223,Expl/Mining Equipment/Supplies,6223N,Petro-Canada Fuels,http://www.petro-canada.ca/business
224,Expl/Mining Equipment/Supplies,7030N,Pilot Diamond Tools,http://www.pilotdiamondtools.ca
225,Expl/Mining Equipment/Supplies,1127,PowerTraxx Vehicles Inc.,http://www.powertraxx.com
226,Expl/Mining Equipment/Supplies,6628N,Prolenc Mfg Inc,http://www.prolenc.com
227,Expl/Mining Equipment/Supplies,7314N,PumpEng,http://www.jetguard.com.au
228,Expl/Mining Equipment/Supplies,938,Quarry and Mining Equipment Ltd.,http://www.qme.ie
229,Expl/Mining Equipment/Supplies,943,RBL-REI,http://www.rblrei-france.com
230,Expl/Mining Equipment/Supplies,437,RDH Mining Equipment,http://www.rdhscharf.com
231,Expl/Mining Equipment/Supplies,1036,ROCK-TECH,http://www.rock-tech.com
232,Expl/Mining Equipment/Supplies,6203N,SafeSight Exploration Inc.,http://www.safesightxp.com
233,Expl/Mining Equipment/Supplies,6303N,Saskatchewan Trade and Export Partnership,http://www.sasktrade.com
234,Expl/Mining Equipment/Supplies,7311N,"SciAps, Inc.",http://www.sciaps.com
235,Expl/Mining Equipment/Supplies,807,SEI Industries Ltd.,http://www.sei-ind.com
236,Expl/Mining Equipment/Supplies,1222,Sepro Systems,http://www.seprosystems.com
237,Expl/Mining Equipment/Supplies,7516N,Silicon Sensing Systems,http://www.sssj.co.jp
238,Expl/Mining Equipment/Supplies,6103N,"SmithCo Mfg, Inc",http://www.sidedump.com
239,Expl/Mining Equipment/Supplies,6202N,SNF Canada,http://www.snfcanada.com
240,Expl/Mining Equipment/Supplies,6726N,Son-Mak,http://www.son-mak.com.tr
241,Expl/Mining Equipment/Supplies,1411,Spectral Evolution,http://www.spectralevolution.com
242,Expl/Mining Equipment/Supplies,6422N,Stockholm Precision Tools AB,http://www.sptab.com
243,Expl/Mining Equipment/Supplies,6318N,SUNDRIL,http://www.sundril.com
244,Expl/Mining Equipment/Supplies,1436,Technidrill,http://www.technidrill.com
245,Expl/Mining Equipment/Supplies,6730N,Tema Isenmann Inc.,http://www.temaisenmann.com
246,Expl/Mining Equipment/Supplies,804,Terraplus Inc.,http://www.terraplus.ca
247,Expl/Mining Equipment/Supplies,7319N,The Thyssen Mining Group of Companies,http://www.thyssenmining.com
248,Expl/Mining Equipment/Supplies,504,Thermo Fisher Scientific,http://www.thermofisher.com
249,Expl/Mining Equipment/Supplies,6924N,Thor Global Enterprises Ltd.,http://www.thorglobal.ca
250,Expl/Mining Equipment/Supplies,6922N,Tioga Air Heaters,http://www.tiogaairheaters.com
251,Expl/Mining Equipment/Supplies,750,Tretan Inc.,http://www.tretan.com
252,Expl/Mining Equipment/Supplies,7223N,Vancon Core Saw Inc.,http://www.vanconcoresaw.com
253,Expl/Mining Equipment/Supplies,940,Wajax ,http://www.wajax.com
254,Expl/Mining Equipment/Supplies,1152,"Walden Group, The",http://www.waldengroup.ca
255,Expl/Mining Equipment/Supplies,700,Weatherhaven,http://www.weatherhaven.com
256,Expl/Mining Equipment/Supplies,6734N,West End Radiators,http://www.westendrad.ca
257,Expl/Mining Equipment/Supplies,6634N,Westpro Machinery Inc.,http://www.westpromachinery.com
258,Expl/Mining Equipment/Supplies,6317N,Xploration Services Greenland A/S,http://www.xplorationservices.com
259,Expl/Mining Equipment/Supplies,6230N,Yesti Insaat ve Tic. Ltd. Sti.,http://www.yestigroup.com
260,Exploration/Mining Company,6525N,Amis,http://www.amis.co.za
261,Exploration/Mining Company,953,Bag Supplies Canada Ltd.,http://www.bagsupplies.ca
262,Exploration/Mining Company,604,DMC Mining Services,http://www.dmcmining.com
263,Exploration/Mining Company,507,Dumas Contracting Ltd.,http://www.dumasmining.com
264,Exploration/Mining Company,723,Fordia Powered by Epiroc,http://www.epiroc.com
265,Exploration/Mining Company,7412N,More Core Diamond Drilling Services Ltd.,http://www.morecore.ca
266,Exploration/Mining Company,7031N,SCR Mining and Tunnelling L.P.,http://www.scrmines.com
267,Exploration/Mining Company,6923N,Sigfusson Northern Ltd.,http://www.sigfusson.ca
268,Exploration/Mining Company,6731N,Star Trace Private Ltd.,http://www.startraceltd.com
269,Finance Division/Institution,115,S&P Global Market Intelligence,http://www.marketintelligence.spglobal.com
270,Financial/Insurance Company,346,Davidson & Company LLP,http://www.davidson-co.com
271,Financial/Insurance Company,7414N,GoldFinX PTE Ltd.,http://www.goldfinx.com
272,Financial/Insurance Company,340,PDAC Partnered Insurance Program,https://www.pdac.ca/members/insurance
273,Financial/Insurance Company,6107N,TFG Global Insurance Solutions Ltd.,http://www.tfgglobal.com
274,Financial/Insurance Company,349,Thomas O'Neill & Associates Inc.,http://www.oneill-inc.com
275,Geological Survey,7413N,BRGM,http://www.brgm.fr
276,Geological Survey,631,"British Columbia, Ministry of Energy, Mines and Petroleum Resources",http://www.gov.bc.ca/ener
277,Geological Survey,1014,Canada-Nunavut Geoscience Office,http://www.cngo.ca
278,Geological Survey,409,"Finland, Geological Survey of",http://geologicalsurveyfinland.com
279,Geological Survey,317,Geological Survey of New South Wales (Australia Minerals),http://www.australiaminerals.gov.au
